type_generateur;energie_generateur;mode_combustion;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;rpint;qp0;pveilleuse;tv_generateur_combustion_id
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;1980;;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.04 * Pn * 1000;240;1
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;1985;1981;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.02 * Pn * 1000;150;2
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;1990;1986;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.015 * Pn * 1000;150;3
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;2000;1991;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.012 * Pn * 1000;120;4
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;2015;2001;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.01 * Pn * 1000;0;5
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;standard;;2016;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;6
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;basse_temperature;2000;;;;;(87.5 + 1.5 * logPn) / 100;(87.5 + 1.5 * logPn) / 100;0.012 * Pn * 1000;120;7
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;basse_temperature;2015;2001;;;;(87.5 + 1.5 * logPn) / 100;(87.5 + 1.5 * logPn) / 100;0.01 * Pn * 1000;0;8
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;basse_temperature;;2016;;;;(87.5 + 1.5 * logPn) / 100;(87.5 + 1.5 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;9
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;1985;;;;;(91 + logPn) / 100;(97 + logPn) / 100;0.01 * Pn * 1000;150;10
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;2000;1986;;;;(91 + logPn) / 100;(97 + logPn) / 100;0;120;11
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;2015;2001;;;;(91 + logPn) / 100;(97 + logPn) / 100;0;0;12
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;;2016;70;;;(91 + 3 * logPn) / 100;(103 + 2.5 * logPn) / 100;0.005 * Pn * 1000;0;13
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;;2016;400;70;;(94 + logPn) / 100;(105 + 0.5 * logPn) / 100;0.003 * Pn * 1000;0;14
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;gaz_naturel|gpl;condensation;;2016;;400;400;96.6 / 100;106.3 / 100;0;0;15
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;1969;;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.04 * Pn * 1000;0;16
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;1975;1970;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.03 * Pn * 1000;0;17
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;1980;1976;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.02 * Pn * 1000;0;18
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;1990;1981;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.01 * Pn * 1000;0;19
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;2015;1991;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;0.01 * Pn * 1000;0;20
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;standard;;2016;;;;(84 + 2 * logPn) / 100;(80 + 3 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;21
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;basse_temperature;2015;;;;;(87.5 + 1.5 * logPn) / 100;(87.5 + 1.5 * logPn) / 100;0.01 * Pn * 1000;0;22
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;fioul;basse_temperature;;2016;;;;(87.5 + 1.5 * logPn) / 100;(87.5 + 1.5 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;23
