type_generateur;type_distribution;type_emetteur;type_emission
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;plancher_chauffant;plancher_chauffant
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;plafond_chauffant;plafond_chauffant
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;radiateur_monotube;radiateur
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;radiateur_bitube;radiateur
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;radiateur;radiateur
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique|poele_bouilleur|reseau_chaleur;hydraulique;autres;radiateur
reseau_chaleur;aeraulique;;air_souffle
generateur_air_chaud|pac_air_air;;;air_souffle
convecteur_bi_jonction;;;radiateur
convecteur_electrique;;;radiateur
panneau_rayonnant_electrique;;;radiateur
plafond_rayonnant_electrique;;;plafond_chauffant
plancher_rayonnant_electrique;;;plancher_chauffant
radiateur_electrique;;;radiateur
radiateur_electrique_accumulation;;;radiateur
poele;;;radiateur
cuisiniere;;;radiateur
foyer_ferme;;;radiateur
insert;;;radiateur
radiateur_gaz;;;radiateur
