type_batiment;type_chauffage;type_emission;inertie;installation_collective;comptage_individuel;regulation_terminale;type_programmation;i0;tv_intermittence_id
immeuble;divise;air_souffle;;0;;;absent;0.9;101
immeuble;divise;radiateur;;0;;;absent;0.9;102
immeuble;divise;plafond_chauffant;;0;;;absent;0.9;103
immeuble;divise;plancher_chauffant;;0;;;absent;0.95;104
immeuble;divise;air_souffle;;0;;;central_avec_minimum_temperature;0.88;125
immeuble;divise;radiateur;;0;;;central_avec_minimum_temperature;0.88;126
immeuble;divise;plafond_chauffant;;0;;;central_avec_minimum_temperature;0.88;127
immeuble;divise;plancher_chauffant;;0;;;central_avec_minimum_temperature;0.93;128
immeuble;divise;air_souffle;;0;;;central_sans_minimum_temperature;0.89;113
immeuble;divise;radiateur;;0;;;central_sans_minimum_temperature;0.89;114
immeuble;divise;plafond_chauffant;;0;;;central_sans_minimum_temperature;0.89;115
immeuble;divise;plancher_chauffant;;0;;;central_sans_minimum_temperature;0.94;116
immeuble;divise;air_souffle;;0;;;terminal_avec_minimum_temperature;0.86;137
immeuble;divise;radiateur;;0;;;terminal_avec_minimum_temperature;0.86;138
immeuble;divise;plafond_chauffant;;0;;;terminal_avec_minimum_temperature;0.86;139
immeuble;divise;plancher_chauffant;;0;;;terminal_avec_minimum_temperature;0.91;140
immeuble;divise;air_souffle;;0;;;terminal_avec_minimum_temperature_detection_presence;0.83;145
immeuble;divise;radiateur;;0;;;terminal_avec_minimum_temperature_detection_presence;0.83;146
immeuble;divise;plafond_chauffant;;0;;;terminal_avec_minimum_temperature_detection_presence;0.83;147
immeuble;central;air_souffle;;0;;1;absent;0.91;105
immeuble;central;radiateur;;0;;1;absent;0.93;106
immeuble;central;plafond_chauffant;;0;;1;absent;0.93;107
immeuble;central;plancher_chauffant;;0;;1;absent;0.95;108
immeuble;central;air_souffle;;0;;0;absent;0.95;109
immeuble;central;radiateur;;0;;0;absent;0.96;110
immeuble;central;plafond_chauffant;;0;;0;absent;0.96;111
immeuble;central;plancher_chauffant;;0;;0;absent;0.97;112
immeuble;central;air_souffle;;0;;1;central_avec_minimum_temperature;0.89;129
immeuble;central;radiateur;;0;;1;central_avec_minimum_temperature;0.91;130
immeuble;central;plafond_chauffant;;0;;1;central_avec_minimum_temperature;0.91;131
immeuble;central;plancher_chauffant;;0;;1;central_avec_minimum_temperature;0.93;132
immeuble;central;air_souffle;;0;;0;central_avec_minimum_temperature;0.93;133
immeuble;central;radiateur;;0;;0;central_avec_minimum_temperature;0.94;134
immeuble;central;plafond_chauffant;;0;;0;central_avec_minimum_temperature;0.94;135
immeuble;central;plancher_chauffant;;0;;0;central_avec_minimum_temperature;0.95;136
immeuble;central;air_souffle;;0;;1;central_sans_minimum_temperature;0.9;117
immeuble;central;radiateur;;0;;1;central_sans_minimum_temperature;0.92;118
immeuble;central;plafond_chauffant;;0;;1;central_sans_minimum_temperature;0.92;119
immeuble;central;plancher_chauffant;;0;;1;central_sans_minimum_temperature;0.94;120
immeuble;central;air_souffle;;0;;0;central_sans_minimum_temperature;0.94;121
immeuble;central;radiateur;;0;;0;central_sans_minimum_temperature;0.95;122
immeuble;central;plafond_chauffant;;0;;0;central_sans_minimum_temperature;0.95;123
immeuble;central;plancher_chauffant;;0;;0;central_sans_minimum_temperature;0.96;124
immeuble;central;air_souffle;;0;;1;terminal_avec_minimum_temperature;0.87;141
immeuble;central;radiateur;;0;;1;terminal_avec_minimum_temperature;0.89;142
immeuble;central;plafond_chauffant;;0;;1;terminal_avec_minimum_temperature;0.89;143
immeuble;central;plancher_chauffant;;0;;1;terminal_avec_minimum_temperature;0.91;144
immeuble;central;air_souffle;;0;;1;terminal_avec_minimum_temperature_detection_presence;0.84;148
immeuble;central;radiateur;;0;;1;terminal_avec_minimum_temperature_detection_presence;0.86;149
immeuble;central;plafond_chauffant;;0;;1;terminal_avec_minimum_temperature_detection_presence;0.86;150
immeuble;central;air_souffle;;1;0;1;absent;1.01;151
immeuble;central;radiateur;;1;0;1;absent;1.03;152
immeuble;central;plafond_chauffant;;1;0;1;absent;1.03;153
immeuble;central;plancher_chauffant;;1;0;1;absent;1.05;154
immeuble;central;air_souffle;;1;0;0;absent;1.03;155
immeuble;central;radiateur;;1;0;0;absent;1.05;156
immeuble;central;plafond_chauffant;;1;0;0;absent;1.05;157
immeuble;central;plancher_chauffant;;1;0;0;absent;1.07;158
immeuble;central;air_souffle;;1;1;1;absent;0.93;170
immeuble;central;radiateur;;1;1;1;absent;0.95;171
immeuble;central;plafond_chauffant;;1;1;1;absent;0.95;172
immeuble;central;plancher_chauffant;;1;1;1;absent;0.97;173
immeuble;central;air_souffle;;1;1;0;absent;0.95;174
immeuble;central;radiateur;;1;1;0;absent;0.97;175
immeuble;central;plafond_chauffant;;1;1;0;absent;0.97;176
immeuble;central;plancher_chauffant;;1;1;0;absent;0.99;177
immeuble;central;air_souffle;;1;0;1;central_collectif;0.99;159
immeuble;central;radiateur;;1;0;1;central_collectif;1.01;160
immeuble;central;plafond_chauffant;;1;0;1;central_collectif;1.01;161
immeuble;central;plancher_chauffant;;1;0;1;central_collectif;1.03;162
immeuble;central;air_souffle;;1;0;0;central_collectif;1.01;163
immeuble;central;radiateur;;1;0;0;central_collectif;1.03;164
immeuble;central;plafond_chauffant;;1;0;0;central_collectif;1.03;165
immeuble;central;plancher_chauffant;;1;0;0;central_collectif;1.05;166
immeuble;central;air_souffle;;1;1;1;central_collectif;0.91;178
immeuble;central;radiateur;;1;1;1;central_collectif;0.93;179
immeuble;central;plafond_chauffant;;1;1;1;central_collectif;0.93;180
immeuble;central;plancher_chauffant;;1;1;1;central_collectif;0.95;181
immeuble;central;air_souffle;;1;1;0;central_collectif;0.93;182
immeuble;central;radiateur;;1;1;0;central_collectif;0.95;183
immeuble;central;plafond_chauffant;;1;1;0;central_collectif;0.95;184
immeuble;central;plancher_chauffant;;1;1;0;central_collectif;0.97;185
immeuble;central;air_souffle;;1;0;1;terminal_detection_presence;0.96;167
immeuble;central;radiateur;;1;0;1;terminal_detection_presence;0.98;168
immeuble;central;plafond_chauffant;;1;0;1;terminal_detection_presence;0.98;169
immeuble;central;air_souffle;;1;1;1;terminal_detection_presence;0.88;186
immeuble;central;radiateur;;1;1;1;terminal_detection_presence;0.9;187
immeuble;central;plafond_chauffant;;1;1;1;terminal_detection_presence;0.9;188
maison;divise;air_souffle;legere|moyenne;;;;absent;0.84;1
maison;divise;radiateur;legere|moyenne;;;;absent;0.84;2
maison;divise;plafond_chauffant;legere|moyenne;;;;absent;0.84;3
maison;divise;plancher_chauffant;legere|moyenne;;;;absent;0.9;4
maison;divise;air_souffle;lourde|tres_lourde;;;;absent;0.86;51
maison;divise;radiateur;lourde|tres_lourde;;;;absent;0.86;52
maison;divise;plafond_chauffant;lourde|tres_lourde;;;;absent;0.86;53
maison;divise;plancher_chauffant;lourde|tres_lourde;;;;absent;0.92;54
maison;divise;air_souffle;legere|moyenne;;;;central_avec_minimum_temperature;0.81;25
maison;divise;radiateur;legere|moyenne;;;;central_avec_minimum_temperature;0.81;26
maison;divise;plafond_chauffant;legere|moyenne;;;;central_avec_minimum_temperature;0.81;27
maison;divise;plancher_chauffant;legere|moyenne;;;;central_avec_minimum_temperature;0.88;28
maison;divise;air_souffle;lourde|tres_lourde;;;;central_avec_minimum_temperature;0.83;75
maison;divise;radiateur;lourde|tres_lourde;;;;central_avec_minimum_temperature;0.83;76
maison;divise;plafond_chauffant;lourde|tres_lourde;;;;central_avec_minimum_temperature;0.83;77
maison;divise;plancher_chauffant;lourde|tres_lourde;;;;central_avec_minimum_temperature;0.9;78
maison;divise;air_souffle;legere|moyenne;;;;central;0.83;13
