type_distribution;presence_fluide_frigorigene;temperature_distribution;reseau_collectif;isolation_reseau;rd;tv_rendement_distribution_ch_id
hydraulique|aeraulique;1;;;;1;12
hydraulique;0;haute;0;1;0.92;10
hydraulique;0;moyenne|basse;0;1;0.95;11
hydraulique;0;haute;1;1;0.87;8
hydraulique;0;moyenne|basse;1;1;0.9;9
hydraulique;0;haute;0;0;0.88;5
hydraulique;0;moyenne|basse;0;0;0.91;6
hydraulique;0;haute;1;0;0.85;3
hydraulique;0;moyenne|basse;1;0;0.87;4
aeraulique;0;;;1;0.85;7
aeraulique;0;;;0;0.8;2
