type_generateur;energie_generateur;label_generateur;annee_installation_generateur/gte;annee_installation_generateur/lte;rg
cuisiniere|foyer_ferme|insert;;flamme_verte;2005;2006;0.65
cuisiniere|foyer_ferme|insert;;flamme_verte;2007;2017;0.7
cuisiniere|foyer_ferme|insert;;flamme_verte;2018;;0.75
cuisiniere|foyer_ferme|insert;;;;1989;0.5
cuisiniere|foyer_ferme|insert;;;1990;2004;0.6
cuisiniere|foyer_ferme|insert;;;2005;;0.65
poele;bois_buche;flamme_verte;2005;2006;0.65
poele;bois_buche;flamme_verte;2007;2017;0.7
poele;bois_buche;flamme_verte;2018;;0.75
poele;bois_buche;;;1989;0.5
poele;bois_buche;;1990;2004;0.6
poele;bois_buche;;2005;;0.65
poele;bois_granule;flamme_verte;;2011;0.8
poele;bois_granule;flamme_verte;2012;2019;0.85
poele;bois_granule;flamme_verte;2020;;0.87
poele;bois_granule;;;;0.8
poele;fioul|gpl|charbon;;;;0.72
convecteur_electrique|panneau_rayonnant_electrique|radiateur_electrique|plancher_rayonnant_electrique|plafond_rayonnant_electrique|radiateur_electrique_accumulation|convecteur_bi_jonction|generateur_air_chaud;electricite;;;;1
chaudiere;electricite;;;;0.97
reseau_chaleur;;;;;0.97
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;bch;10000;
;;;int;0.8;
;;;rdim;0.75;
;;;;;
;;;;;
;;;ich;2.16;
;;;cch;12960;12960
;;;;;
;;;;;
;;;cch1;12000;12000
;;;ich1;2.5;
;;;t1;0.8;
;;;;;
;;;cch2;960;960
;;;ich2;0.8;
;;;t2;0.2;
