zone_climatique;type_generateur;type_emetteur;annee_installation/lte;annee_installation/gte;scop_cop;scop;tv_scop_id
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_air;;2007;;cop;2.2;1
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_air;;2014;2008;scop;2.3;2
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_air;;;2015;scop;3;3
H3;pac_air_air;;2007;;cop;2.4;4
H3;pac_air_air;;2014;2008;scop;2.6;5
H3;pac_air_air;;;2015;scop;3.3;6
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2007;;cop;2.2;7
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2014;2008;scop;2.4;8
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2016;2015;scop;2.6;9
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;;2017;scop;2.8;10
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;plafond_chauffant|plancher_chauffant;2007;;cop;2.4;11
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;plafond_chauffant|plancher_chauffant;2014;2008;scop;2.6;12
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;plafond_chauffant|plancher_chauffant;2016;2015;scop;2.9;13
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_air_eau;plafond_chauffant|plancher_chauffant;;2017;scop;3.2;14
H3;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2007;;cop;2.5;15
H3;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2014;2008;scop;2.8;16
H3;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;2016;2015;scop;3;17
H3;pac_air_eau;radiateur_monotube|radiateur_bitube|radiateur;;2017;scop;3.2;18
H3;pac_air_eau;plafond_chauffant|plancher_chauffant;2007;;cop;2.9;19
H3;pac_air_eau;plafond_chauffant|plancher_chauffant;2014;2008;scop;3.1;20
H3;pac_air_eau;plafond_chauffant|plancher_chauffant;2016;2015;scop;3.5;21
H3;pac_air_eau;plafond_chauffant|plancher_chauffant;;2017;scop;3.8;22
