mode_combustion;temperature_distribution;annee_installation_emetteur/lte;annee_installation_emetteur/gte;annee_installation_generateur/lte;annee_installation_generateur/gte;tfonc30;tv_temp_fonc_30_id
standard;basse;1980;;1990;;53;19
standard;basse;2000;1981;1990;;50;22
standard;basse;;2001;1990;;50;25
standard;moyenne;1980;;1990;;59;20
standard;moyenne;2000;1981;1990;;56;23
standard;moyenne;;2001;1990;;53;26
standard;haute;1980;;1990;;59;21
standard;haute;2000;1981;1990;;56;24
standard;haute;;2001;1990;;56;27
standard;basse;1980;;;1991;49.5;28
standard;basse;2000;1981;;1991;45;31
standard;basse;;2001;;1991;45;34
standard;moyenne;1980;;;1991;55.5;29
standard;moyenne;2000;1981;;1991;52.5;32
standard;moyenne;;2001;;1991;49.5;35
standard;haute;1980;;;1991;55.5;30
standard;haute;2000;1981;;1991;52.5;33
standard;haute;;2001;;;52.5;36
basse_temperature;basse;1980;;;;42.5;10
basse_temperature;basse;2000;1981;;;35;13
basse_temperature;basse;;2001;;;35;16
basse_temperature;moyenne;1980;;;;48.5;11
basse_temperature;moyenne;2000;1981;;;45.5;14
basse_temperature;moyenne;;2001;;;42.5;17
basse_temperature;haute;1980;;;;48.5;12
basse_temperature;haute;2000;1981;;;45.5;15
basse_temperature;haute;;2001;;;45.5;18
condensation;basse;1980;;;;32;1
condensation;basse;2000;1981;;;24.5;4
condensation;basse;;2001;;;24.5;7
condensation;moyenne;1980;;;;38;2
condensation;moyenne;2000;1981;;;35;5
condensation;moyenne;;2001;;;32;8
condensation;haute;1980;;;;38;3
condensation;haute;2000;1981;;;35;6
condensation;haute;;2001;;;35;9
