zone_climatique;orientation;inclinaison/lt;inclinaison/lte;inclinaison/gte;inclinaison/eq;mois;c1
H1a;sud;;;75;;01;1
H1a;sud;;;75;;02;1
H1a;sud;;;75;;03;1
H1a;sud;;;75;;04;1
H1a;sud;;;75;;05;1
H1a;sud;;;75;;06;1
H1a;sud;;;75;;07;1
H1a;sud;;;75;;08;1
H1a;sud;;;75;;09;1
H1a;sud;;;75;;10;1
H1a;sud;;;75;;11;1
H1a;sud;;;75;;12;1
H1b;sud;;;75;;01;1
H1b;sud;;;75;;02;1
H1b;sud;;;75;;03;1
H1b;sud;;;75;;04;1
H1b;sud;;;75;;05;1
H1b;sud;;;75;;06;1
H1b;sud;;;75;;07;1
H1b;sud;;;75;;08;1
H1b;sud;;;75;;09;1
H1b;sud;;;75;;10;1
H1b;sud;;;75;;11;1
H1b;sud;;;75;;12;1
H1c;sud;;;75;;01;1
H1c;sud;;;75;;02;1
H1c;sud;;;75;;03;1
H1c;sud;;;75;;04;1
H1c;sud;;;75;;05;1
H1c;sud;;;75;;06;1
H1c;sud;;;75;;07;1
H1c;sud;;;75;;08;1
H1c;sud;;;75;;09;1
H1c;sud;;;75;;10;1
H1c;sud;;;75;;11;1
H1c;sud;;;75;;12;1
H2a;sud;;;75;;01;1
H2a;sud;;;75;;02;1
H2a;sud;;;75;;03;1
H2a;sud;;;75;;04;1
H2a;sud;;;75;;05;1
H2a;sud;;;75;;06;1
H2a;sud;;;75;;07;1
H2a;sud;;;75;;08;1
H2a;sud;;;75;;09;1
H2a;sud;;;75;;10;1
H2a;sud;;;75;;11;1
H2a;sud;;;75;;12;1
H2b;sud;;;75;;01;1
H2b;sud;;;75;;02;1
H2b;sud;;;75;;03;1
H2b;sud;;;75;;04;1
H2b;sud;;;75;;05;1
H2b;sud;;;75;;06;1
H2b;sud;;;75;;07;1
H2b;sud;;;75;;08;1
H2b;sud;;;75;;09;1
H2b;sud;;;75;;10;1
H2b;sud;;;75;;11;1
H2b;sud;;;75;;12;1
H2c;sud;;;75;;01;1
H2c;sud;;;75;;02;1
H2c;sud;;;75;;03;1
H2c;sud;;;75;;04;1
H2c;sud;;;75;;05;1
H2c;sud;;;75;;06;1
H2c;sud;;;75;;07;1
H2c;sud;;;75;;08;1
H2c;sud;;;75;;09;1
H2c;sud;;;75;;10;1
H2c;sud;;;75;;11;1
H2c;sud;;;75;;12;1
H2d;sud;;;75;;01;1
H2d;sud;;;75;;02;1
H2d;sud;;;75;;03;1
H2d;sud;;;75;;04;1
H2d;sud;;;75;;05;1
H2d;sud;;;75;;06;1
H2d;sud;;;75;;07;1
H2d;sud;;;75;;08;1
H2d;sud;;;75;;09;1
H2d;sud;;;75;;10;1
H2d;sud;;;75;;11;1
H2d;sud;;;75;;12;1
H3;sud;;;75;;01;1
H3;sud;;;75;;02;1
H3;sud;;;75;;03;1
H3;sud;;;75;;04;1
H3;sud;;;75;;05;1
H3;sud;;;75;;06;1
H3;sud;;;75;;07;1
H3;sud;;;75;;08;1
H3;sud;;;75;;09;1
H3;sud;;;75;;10;1
H3;sud;;;75;;11;1
H3;sud;;;75;;12;1
H1a;sud;;75;25;;01;1.67
H1a;sud;;75;25;;02;1.78
H1a;sud;;75;25;;03;1.99
H1a;sud;;75;25;;04;2.39
H1a;sud;;75;25;;05;2.74
H1a;sud;;75;25;;06;2.98
H1a;sud;;75;25;;07;2.87
H1a;sud;;75;25;;08;2.52
H1a;sud;;75;25;;09;2.14
H1a;sud;;75;25;;10;1.84
H1a;sud;;75;25;;11;1.74
H1a;sud;;75;25;;12;1.59
H1b;sud;;75;25;;01;1.65
H1b;sud;;75;25;;02;1.8
H1b;sud;;75;25;;03;2.04
H1b;sud;;75;25;;04;2.39
H1b;sud;;75;25;;05;2.8
H1b;sud;;75;25;;06;2.88
H1b;sud;;75;25;;07;2.81
H1b;sud;;75;25;;08;2.53
H1b;sud;;75;25;;09;2.13
H1b;sud;;75;25;;10;1.89
H1b;sud;;75;25;;11;1.76
H1b;sud;;75;25;;12;1.66
H1c;sud;;75;25;;01;1.75
H1c;sud;;75;25;;02;1.8
H1c;sud;;75;25;;03;2.04
H1c;sud;;75;25;;04;2.45
H1c;sud;;75;25;;05;2.84
H1c;sud;;75;25;;06;3.1
H1c;sud;;75;25;;07;3.04
H1c;sud;;75;25;;08;2.67
H1c;sud;;75;25;;09;2.21
H1c;sud;;75;25;;10;1.89
H1c;sud;;75;25;;11;1.77
H1c;sud;;75;25;;12;1.63
H2a;sud;;75;25;;01;1.66
H2a;sud;;75;25;;02;1.79
H2a;sud;;75;25;;03;2.01
H2a;sud;;75;25;;04;2.4
H2a;sud;;75;25;;05;2.86
H2a;sud;;75;25;;06;2.98
H2a;sud;;75;25;;07;2.8
H2a;sud;;75;25;;08;2.57
H2a;sud;;75;25;;09;2.2
H2a;sud;;75;25;;10;1.86
