zone_climatique;altitude/lte;altitue/lt;altitude/gt;altitude/gte;parois_anciennes;inertie;mois;tefs;e;efr26;efr28;text;textmoy26;textmoy28;nref19;nref21;nref26;nref28;dh14;dh19;dh21;dh26;dh28
H1a;400;;;;0;legere|moyenne;01;7.8;38.36;0;0;2.6;;;744;744;0;0;8488;11712.4;13200.4;0;0
H1a;400;;;;0;legere|moyenne;02;5.5;37.47;0;0;3.5;;;672;672;0;0;7038.8;9966.8;11310.8;0;0
H1a;400;;;;0;legere|moyenne;03;6.9;77.61;0;0;7.7;;;738;741;0;0;4733.2;7922.7;9402.4;0;0
H1a;400;;;;0;legere|moyenne;04;9.1;86.79;0;0;10.3;;;695;710;0;0;2950.5;5877.4;7283.3;0;0
H1a;400;;;;0;legere|moyenne;05;11.4;53.63;3.17;0;13.2;26.8;;438;486;8;0;1036.8;2762;3694.7;8.1;0
H1a;400;;;;0;legere|moyenne;06;15.1;0;10.56;5.98;;28.2;29.2;0;0;74;19;0;0;0;74.2;22.5
H1a;400;;;;0;legere|moyenne;07;16.1;0;19.84;9.54;;28.3;29.7;0;0;153;33;0;0;0;152.8;57.1
H1a;400;;;;0;legere|moyenne;08;17.8;0;20.93;11.27;;28.4;29.8;0;0;167;35;0;0;0;166.8;64.2
H1a;400;;;;0;legere|moyenne;09;15.9;54.18;6.33;3.18;13.6;28.2;29.3;402;434;29;6;730.2;2264.1;3101.3;28.8;7.6
H1a;400;;;;0;legere|moyenne;10;14.7;61.45;0;0;13.8;;;644;683;0;0;1056;3645.4;4977.9;0;0
H1a;400;;;;0;legere|moyenne;11;12.5;43.04;0;0;8.8;;;715;720;0;0;3795;6861;8298.6;0;0
H1a;400;;;;0;legere|moyenne;12;9.2;34.26;0;0;5;;;744;744;0;0;6705.3;9573.3;11061.3;0;0
H1a;;800;400;;0;legere|moyenne;01;5.8;38.36;0;0;0.6;;;744;744;0;0;9972.4;13200.4;14688.4;0;0
H1a;;800;400;;0;legere|moyenne;02;3.5;37.47;0;0;1.5;;;672;672;0;0;8382.8;11310.8;12654.8;0;0
H1a;;800;400;;0;legere|moyenne;03;4.9;77.61;0;0;5.7;;;741;742;0;0;6180;9402.4;10884.9;0;0
H1a;;800;400;;0;legere|moyenne;04;7.1;86.79;0;0;8.3;;;710;719;0;0;4240.7;7283.3;8709.4;0;0
H1a;;800;400;;0;legere|moyenne;05;9.4;87.83;0;0;13;;;635;663;0;0;1879.7;4359.2;5655.9;8.1;0
H1a;;800;400;;0;legere|moyenne;06;13.1;84.66;5.98;1.14;15.6;28.4;28.4;514;594;19;4;785.5;2644;3752.7;74.2;22.5
H1a;;800;400;;0;legere|moyenne;07;14.1;37.58;9.54;4.4;15.9;28.8;28.8;216;266;33;14;244.8;1025.7;1514;152.8;57.1
H1a;;800;400;;0;legere|moyenne;08;15.8;33.14;11.27;5.05;14.8;28.9;28.9;233;272;35;17;264.3;1095.6;1607.2;166.8;64.2
H1a;;800;400;;0;legere|moyenne;09;13.9;94.3;3.18;0;13.2;;;621;672;6;0;1602.9;4046.6;5340.9;28.8;7.6
H1a;;800;400;;0;legere|moyenne;10;12.7;61.45;0;0;11.8;;;683;722;0;0;2067.4;4977.9;6393.3;0;0
H1a;;800;400;;0;legere|moyenne;11;10.5;43.04;0;0;6.8;;;720;720;0;0;5187.5;8298.6;9738.6;0;0
H1a;;800;400;;0;legere|moyenne;12;7.2;34.26;0;0;3;;;744;744;0;0;8193.3;11061.3;12549.3;0;0
H1a;;;;800;0;legere|moyenne;01;;0;0;0;;;;0;0;0;;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;02;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;03;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;04;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;05;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;06;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;07;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;08;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;09;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;10;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;11;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1a;;;;800;0;legere|moyenne;12;;0;0;0;;;;0;0;0;0;0;0;0;0;0
H1b;400;;;;0;legere|moyenne;01;6.9;31.13;0;0;4.7;;;744;744;0;0;6952.7;10180.7;11668.7;0;0
H1b;400;;;;0;legere|moyenne;02;6.1;45.92;0;0;5.2;;;672;672;0;0;5962.7;8874.7;10218.7;0;0
H1b;400;;;;0;legere|moyenne;03;6.4;61.88;0;0;7.3;;;737;744;0;0;5001.6;8207.7;9689.8;0;0
H1b;400;;;;0;legere|moyenne;04;7.6;79.71;0;0;10.3;;;664;700;0;0;3126.6;5914.4;7285;0;0
H1b;400;;;;0;legere|moyenne;05;11.3;86.58;5.62;1.77;14.4;27.3;28.5;558;631;20;5;1349.8;3555.9;4759.3;20.1;2.6
H1b;400;;;;0;legere|moyenne;06;14.9;1.39;23.12;12.04;13.6;28.3;29.8;24;24;189;39;27.2;104.7;152.7;188.5;72
H1b;400;;;;0;legere|moyenne;07;16.9;0;43.62;30.73;;28.9;29.8;0;0;389;90;0;0;0;388.8;163.6
H1b;400;;;;0;legere|moyenne;08;17.3;0;22.2;14.9;;28.9;30;0;0;200;44;0;0;0;199.8;88
H1b;400;;;;0;legere|moyenne;09;16.8;3.04;3.25;0.46;14.5;27.3;28.2;47;48;11;1;46.4;215.8;311.6;10.8;0.2
H1b;400;;;;0;legere|moyenne;10;14.6;61.93;0;0;12.3;;;568;603;0;0;1704.6;4109.7;5278.8;0;0
H1b;400;;;;0;legere|moyenne;11;10.5;33.95;0;0;6.6;;;720;720;0;0;5382.8;8473.8;9913.8;0;0
H1b;400;;;;0;legere|moyenne;12;7.9;37.72;0;0;3.8;;;744;744;0;0;7584.5;10452.5;11940.5;0;0
H1b;;800;400;;0;legere|moyenne;01;4.9;31.13;0;0;2.7;;;744;744;0;0;8440.7;11668.7;13156.7;0;0
