type_generateur;energie_generateur;mode_combustion;volume_stockage/gt;volume_stockage/eq;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;qp0;pveilleuse;tv_generateur_combustion_id
chaudiere;gaz_naturel|gpl;standard;;;1980;;;;;(84 + 2 * logPn) / 100;0.04 * Pn * 1000;240;1
chaudiere;gaz_naturel|gpl;standard;;;1985;1981;;;;(84 + 2 * logPn) / 100;0.02 * Pn * 1000;150;2
chaudiere;gaz_naturel|gpl;standard;;;1990;1986;;;;(84 + 2 * logPn) / 100;0.015 * Pn * 1000;150;3
chaudiere;gaz_naturel|gpl;standard;;;2000;1991;;;;(84 + 2 * logPn) / 100;0.012 * Pn * 1000;120;4
chaudiere;gaz_naturel|gpl;standard;;;2015;2001;;;;(84 + 2 * logPn) / 100;0.01 * Pn * 1000;0;5
chaudiere;gaz_naturel|gpl;standard;;;;2016;;;;(84 + 2 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;6
chaudiere;gaz_naturel|gpl;basse_temperature;;;2000;;;;;(87.5 + 1.5 * logPn) / 100;0.012 * Pn * 1000;120;7
chaudiere;gaz_naturel|gpl;basse_temperature;;;2015;2001;;;;(87.5 + 1.5 * logPn) / 100;0.01 * Pn * 1000;0;8
chaudiere;gaz_naturel|gpl;basse_temperature;;;;2016;;;;(87.5 + 1.5 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;9
chaudiere;gaz_naturel|gpl;condensation;;;1985;;;;;(91 + logPn) / 100;0.01 * Pn * 1000;150;10
chaudiere;gaz_naturel|gpl;condensation;;;2000;1986;;;;(91 + logPn) / 100;0;120;11
chaudiere;gaz_naturel|gpl;condensation;;;2015;2001;;;;(91 + logPn) / 100;0;0;12
chaudiere;gaz_naturel|gpl;condensation;;;;2015;70;;;(91 + 3 * logPn) / 100;0.005 * Pn * 1000;0;13
chaudiere;gaz_naturel|gpl;condensation;;;;2015;400;70;;(94 + logPn) / 100;0.003 * Pn * 1000;0;14
chaudiere;gaz_naturel|gpl;condensation;;;;2015;;400;400;96.6 / 100;0;0;15
chaudiere|chauffe_eau;fioul;standard;;;1969;;;;;(84 + 2 * logPn) / 100;0.04 * Pn * 1000;0;16
chaudiere|chauffe_eau;fioul;standard;;;1975;1970;;;;(84 + 2 * logPn) / 100;0.03 * Pn * 1000;0;17
chaudiere|chauffe_eau;fioul;standard;;;1980;1976;;;;(84 + 2 * logPn) / 100;0.02 * Pn * 1000;0;18
chaudiere|chauffe_eau;fioul;standard;;;1990;1981;;;;(84 + 2 * logPn) / 100;0.01 * Pn * 1000;0;19
chaudiere|chauffe_eau;fioul;standard;;;2015;1991;;;;(84 + 2 * logPn) / 100;0.01 * Pn * 1000;0;20
chaudiere|chauffe_eau;fioul;standard;;;;2016;;;;(84 + 2 * logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;21
chaudiere;fioul;basse_temperature;;;2015;;;;;(87.5 + 1.5 logPn) / 100;0.01 * Pn * 1000;0;22
chaudiere;fioul;basse_temperature;;;;2016;;;;(87.5 + 1.5 logPn) / 100;(E + F * logPn) / 100 * Pn * 1000;0;23
chaudiere|chauffe_eau;fioul;condensation;;;2015;;;;;(91 + logPn) / 100;0.01 * Pn * 1000;0;24
chaudiere|chauffe_eau;fioul;condensation;;;;2016;70;;;(91 + 3 * logPn) / 100;0.005 * Pn * 1000;0;25
chaudiere|chauffe_eau;fioul;condensation;;;;2016;400;70;;(94 + logPn) / 100;0.006 * Pn * 1000;0;26
chaudiere|chauffe_eau;fioul;condensation;;;;2016;;400;400;96.6 / 100;0.003 * Pn * 1000;0;27
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1977;;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn ^ -0.27) * Pn * 1000;0;28
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1977;;400;70;70;58 / 100;1.8 * Pn * 1000;0;29
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1977;;;400;70;58 / 100;1.1 * Pn * 1000;0;30
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1994;1978;70;;;(47 + 6 * logPn) / 100;0.07 * (Pn ^ -0.3) * Pn * 1000;0;31
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1994;1978;400;70;70;58 / 100;1.4 * Pn * 1000;0;32
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;1994;1978;;400;70;58 / 100;0.8 * Pn * 1000;0;33
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2003;1995;70;;;(47 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;34
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2003;1995;400;70;70;58 / 100;1.1 * Pn * 1000;0;35
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2003;1995;;400;70;58 / 100;0.5 * Pn * 1000;0;36
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2012;2004;70;;;(57 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;37
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2012;2004;400;70;70;68 / 100;1.1 * Pn * 1000;0;38
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2012;2004;;400;70;68 / 100;0.5 * Pn * 1000;0;39
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2017;2013;70;;;(67 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;40
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2017;2013;400;70;70;78 / 100;1.1 * Pn * 1000;0;41
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2017;2013;;400;70;78 / 100;0.5 * Pn * 1000;0;42
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2019;2018;70;;;(80 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;43
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2019;2018;400;70;70;84 / 100;1.1 * Pn * 1000;0;44
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2019;2018;;400;70;84 / 100;0.5 * Pn * 1000;0;45
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;20;;;(89 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;46
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;70;400;;(90 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;47
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;400;70;70;94 / 100;1.1 * Pn * 1000;0;48
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;;400;70;94 / 100;0.5 * Pn * 1000;0;49
chaudiere|chauffe_eau;bois_granule;;;;1977;;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn)^-0.27 * Pn * 1000;0;50
chaudiere|chauffe_eau;bois_granule;;;;1977;;400;70;70;58 / 100;1.8 * Pn * 1000;0;51
chaudiere|chauffe_eau;bois_granule;;;;1977;;;400;70;58 / 100;1.1 * Pn * 1000;0;52
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn ^ -0.3) * Pn * 1000;0;53
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;400;70;70;58 / 100;1.4 * Pn * 1000;0;54
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;;400;70;58 / 100;0.8 * Pn * 1000;0;55
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;70;;;(57 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;56
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;400;70;70;68 / 100;1.1 * Pn * 1000;0;57
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;;400;70;68 / 100;0.5 * Pn * 1000;0;58
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;70;;;(67 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;59
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;400;70;70;78 / 100;1.1 * Pn * 1000;0;60
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;;400;70;78 / 100;0.5 * Pn * 1000;0;61
chaudiere|chauffe_eau;bois_granule;;;;2019;2013;70;;;(80 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;62
