zone_climatique;type_generateur;annee_installation/gte;annee_installation/lte;cop;tv_scop_id
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_ambiant;;2009;2;71
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_ambiant;2010;2014;2.2;72
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_ambiant;2015;;2.5;73
H3;cet_air_ambiant;;2009;2.3;74
H3;cet_air_ambiant;2010;2014;2.5;75
H3;cet_air_ambiant;2015;;2.8;76
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_extrait;;2009;2.3;77
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_extrait;2010;2014;2.5;78
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_extrait;2015;;2.8;79
H3;cet_air_extrait;;2009;2.3;80
H3;cet_air_extrait;2010;2014;2.5;81
H3;cet_air_extrait;2015;;2.9;82
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_double_service;;2009;2;83
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_double_service;2010;2014;2.1;84
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_double_service;2015;;2.3;85
H3;pac_double_service;;2009;2.3;86
H3;pac_double_service;2010;2014;2.4;87
H3;pac_double_service;2015;;2.6;88
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_exterieur;;2009;2;71
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_exterieur;2010;2014;2.2;72
H1a|H1b|H1c|H2a|H2b|H2c|H2d;cet_air_exterieur;2015;;2.5;73
H3;cet_air_exterieur;;2009;2.3;74
H3;cet_air_exterieur;2010;2014;2.5;75
H3;cet_air_exterieur;2015;;2.8;76
