position_chauffe_eau;label_generateur;volume_stockage/lte;volume_stockage/gt;cr;tv_pertes_stockage_id
chauffe_eau_horizontal;;100;;0.39;1
chauffe_eau_horizontal;;200;100;0.33;5
chauffe_eau_horizontal;;300;200;0.3;9
chauffe_eau_horizontal;;;300;0.3;13
chauffe_eau_vertical;ne_performance_a;100;;0.32;2
chauffe_eau_vertical;ne_performance_a;200;100;0.23;3
chauffe_eau_vertical;ne_performance_a;300;200;0.22;10
chauffe_eau_vertical;ne_performance_a;;300;0.22;14
chauffe_eau_vertical;ne_performance_b;100;;0.27;3
chauffe_eau_vertical;ne_performance_b;200;100;0.22;7
chauffe_eau_vertical;ne_performance_b;300;200;0.2;11
chauffe_eau_vertical;ne_performance_b;;300;0.18;15
chauffe_eau_vertical;ne_performance_c;100;;0.25;4
chauffe_eau_vertical;ne_performance_c;200;100;0.2;8
chauffe_eau_vertical;ne_performance_c;300;200;0.18;12
chauffe_eau_vertical;ne_performance_c;;300;0.16;16
chauffe_eau_vertical;;100;;0.32;2
chauffe_eau_vertical;;200;100;0.23;3
chauffe_eau_vertical;;300;200;0.22;10
chauffe_eau_vertical;;;300;0.22;14
