type_batiment;zone_climatique;usage_solaire;anciennete_installation/gt;anciennete_installation/lte;fecs;tv_facteur_couverture_solaire_id
maison;H1a;ecs;5;;0.49;9
maison;H1b;ecs;5;;0.5;10
maison;H1c;ecs;5;;0.53;11
maison;H2a;ecs;5;;0.51;12
maison;H2b;ecs;5;;0.54;13
maison;H2c;ecs;5;;0.58;14
maison;H2d;ecs;5;;0.61;15
maison;H3;ecs;5;;0.64;16
maison;H1a;ecs;;5;0.63;17
maison;H1b;ecs;;5;0.64;18
maison;H1c;ecs;;5;0.68;19
maison;H2a;ecs;;5;0.66;20
maison;H2b;ecs;;5;0.69;21
maison;H2c;ecs;;5;0.74;22
maison;H2d;ecs;;5;0.77;23
maison;H3;ecs;;5;0.8;24
maison;H1a;chauffage_ecs;;;0.87;25
maison;H1b;chauffage_ecs;;;0.88;26
maison;H1c;chauffage_ecs;;;0.9;27
maison;H2a;chauffage_ecs;;;0.9;28
maison;H2b;chauffage_ecs;;;0.91;29
maison;H2c;chauffage_ecs;;;0.95;30
maison;H2d;chauffage_ecs;;;0.96;31
maison;H3;chauffage_ecs;;;0.98;32
immeuble;H1a;ecs;5;;0.26;33
immeuble;H1b;ecs;5;;0.27;34
immeuble;H1c;ecs;5;;0.31;35
immeuble;H2a;ecs;5;;0.28;36
immeuble;H2b;ecs;5;;0.32;37
immeuble;H2c;ecs;5;;0.35;38
immeuble;H2d;ecs;5;;0.38;39
immeuble;H3;ecs;5;;0.4;40
immeuble;H1a;ecs;;5;0.38;41
immeuble;H1b;ecs;;5;0.4;42
immeuble;H1c;ecs;;5;0.45;43
immeuble;H2a;ecs;;5;0.41;44
immeuble;H2b;ecs;;5;0.46;45
immeuble;H2c;ecs;;5;0.5;46
immeuble;H2d;ecs;;5;0.56;47
immeuble;H3;ecs;;5;0.58;48
