type_baie;presence_soubassement;materiau;type_vitrage;type_pose;type_survitrage;sw;tv_sw_id
brique_verre_pleine;;;;;;0.4;1
brique_verre_creuse;;;;;;0.4;2
polycarbonate;;;;;;0.4;3
fenetre_battante;;pvc;simple_vitrage;nu_exterieur;;0.58;4
fenetre_battante;;pvc;double_vitrage;nu_exterieur;;0.52;5
fenetre_battante;;pvc;double_vitrage_fe;nu_exterieur;;0.45;6
fenetre_battante;;pvc;triple_vitrage;nu_exterieur;;0.46;7
fenetre_battante;;pvc;triple_vitrage_fe;nu_exterieur;;0.41;8
fenetre_battante;;pvc;simple_vitrage;nu_exterieur;simple;0.52;5
fenetre_battante;;pvc;simple_vitrage;nu_exterieur;faible_emissivite;0.45;6
fenetre_battante;;pvc;simple_vitrage;nu_interieur;;0.52;89
fenetre_battante;;pvc;double_vitrage;nu_interieur;;0.47;90
fenetre_battante;;pvc;double_vitrage_fe;nu_interieur;;0.4;91
fenetre_battante;;pvc;triple_vitrage;nu_interieur;;0.41;92
fenetre_battante;;pvc;triple_vitrage_fe;nu_interieur;;0.37;93
fenetre_battante;;pvc;simple_vitrage;nu_interieur;simple;0.47;90
fenetre_battante;;pvc;simple_vitrage;nu_interieur;faible_emissivite;0.4;91
fenetre_battante;;pvc;simple_vitrage;tunnel;;0.52;89
fenetre_battante;;pvc;double_vitrage;tunnel;;0.47;90
fenetre_battante;;pvc;double_vitrage_fe;tunnel;;0.4;91
fenetre_battante;;pvc;triple_vitrage;tunnel;;0.41;92
fenetre_battante;;pvc;triple_vitrage_fe;tunnel;;0.37;93
fenetre_battante;;pvc;simple_vitrage;tunnel;simple;0.47;90
fenetre_battante;;pvc;simple_vitrage;tunnel;faible_emissivite;0.4;91
fenetre_battante;;bois;simple_vitrage;nu_exterieur;;0.58;4
fenetre_battante;;bois;double_vitrage;nu_exterieur;;0.52;5
fenetre_battante;;bois;double_vitrage_fe;nu_exterieur;;0.45;6
fenetre_battante;;bois;triple_vitrage;nu_exterieur;;0.46;7
fenetre_battante;;bois;triple_vitrage_fe;nu_exterieur;;0.41;8
fenetre_battante;;bois;simple_vitrage;nu_exterieur;simple;0.52;5
fenetre_battante;;bois;simple_vitrage;nu_exterieur;faible_emissivite;0.45;6
fenetre_battante;;bois;simple_vitrage;nu_interieur;;0.52;89
fenetre_battante;;bois;double_vitrage;nu_interieur;;0.47;90
fenetre_battante;;bois;double_vitrage_fe;nu_interieur;;0.4;91
fenetre_battante;;bois;triple_vitrage;nu_interieur;;0.41;92
fenetre_battante;;bois;triple_vitrage_fe;nu_interieur;;0.37;93
fenetre_battante;;bois;simple_vitrage;nu_interieur;simple;0.47;90
fenetre_battante;;bois;simple_vitrage;nu_interieur;faible_emissivite;0.4;91
fenetre_battante;;bois;simple_vitrage;tunnel;;0.52;89
fenetre_battante;;bois;double_vitrage;tunnel;;0.47;90
fenetre_battante;;bois;double_vitrage_fe;tunnel;;0.4;91
fenetre_battante;;bois;triple_vitrage;tunnel;;0.41;92
fenetre_battante;;bois;triple_vitrage_fe;tunnel;;0.37;93
fenetre_battante;;bois;simple_vitrage;tunnel;simple;0.47;90
fenetre_battante;;bois;simple_vitrage;tunnel;faible_emissivite;0.4;91
fenetre_battante;;bois_metal;simple_vitrage;nu_exterieur;;0.54;24
fenetre_battante;;bois_metal;double_vitrage;nu_exterieur;;0.48;25
