type_vitrage;type_survitrage;type_baie;nature_lame_air;epaisseur_lame_air/eq;epaisseur_lame_air/gte;epaisseur_lame_air/lt;inclinaison_vitrage/lt;inclinaison_vitrage/gte;ug;tv_ug_id
brique_verre;;brique_verre_pleine;;;;;;;3.5;
brique_verre;;brique_verre_creuse;;;;;;;2;
polycarbonate;;;;;;;;;3;
simple_vitrage;;;;;;;;;5.8;1
simple_vitrage;survitrage_simple;;;6;;8;;75;3.4;
simple_vitrage;survitrage_simple;;;8;8;10;;75;3.2;
simple_vitrage;survitrage_simple;;;10;10;12;;75;3;
simple_vitrage;survitrage_simple;;;12;12;14;;75;2.9;
simple_vitrage;survitrage_simple;;;14;14;15;;75;2.9;
simple_vitrage;survitrage_simple;;;15;15;16;;75;2.8;
simple_vitrage;survitrage_simple;;;16;16;18;;75;2.8;
simple_vitrage;survitrage_simple;;;18;18;20;;75;2.8;
simple_vitrage;survitrage_simple;;;20;20;;;75;2.8;
simple_vitrage;survitrage_simple;;;6;;8;75;;3.8;
simple_vitrage;survitrage_simple;;;8;8;10;75;;3.5;
simple_vitrage;survitrage_simple;;;10;10;12;75;;3.3;
simple_vitrage;survitrage_simple;;;12;12;14;75;;3.2;
simple_vitrage;survitrage_simple;;;14;14;15;75;;3.2;
simple_vitrage;survitrage_simple;;;15;15;16;75;;3;
simple_vitrage;survitrage_simple;;;16;16;18;75;;3;
simple_vitrage;survitrage_simple;;;18;18;20;75;;3;
simple_vitrage;survitrage_simple;;;20;20;;75;;3;
simple_vitrage;survitrage_fe;;;6;;8;;75;2.55;
simple_vitrage;survitrage_fe;;;8;8;10;;75;2.2;
simple_vitrage;survitrage_fe;;;10;10;12;;75;1.9;
simple_vitrage;survitrage_fe;;;12;12;14;;75;1.7;
simple_vitrage;survitrage_fe;;;14;14;15;;75;1.6;
simple_vitrage;survitrage_fe;;;15;15;16;;75;1.5;
simple_vitrage;survitrage_fe;;;16;16;18;;75;1.5;
simple_vitrage;survitrage_fe;;;18;18;20;;75;1.5;
simple_vitrage;survitrage_fe;;;20;20;;;75;1.5;
simple_vitrage;survitrage_fe;;;6;;8;75;;2.7;
simple_vitrage;survitrage_fe;;;8;8;10;75;;2.3;
simple_vitrage;survitrage_fe;;;10;10;12;75;;2;
simple_vitrage;survitrage_fe;;;12;12;14;75;;1.8;
simple_vitrage;survitrage_fe;;;14;14;15;75;;1.7;
simple_vitrage;survitrage_fe;;;15;15;16;75;;1.6;
simple_vitrage;survitrage_fe;;;16;16;18;75;;1.6;
simple_vitrage;survitrage_fe;;;18;18;20;75;;1.6;
simple_vitrage;survitrage_fe;;;20;20;;75;;1.6;
double_vitrage;;;air;6;;8;;75;3.3;2
double_vitrage;;;air;8;8;10;;75;3.1;3
double_vitrage;;;air;10;10;12;;75;2.9;4
double_vitrage;;;air;12;12;14;;75;2.8;5
double_vitrage;;;air;14;14;15;;75;2.8;6
double_vitrage;;;air;15;15;16;;75;2.7;7
double_vitrage;;;air;16;16;18;;75;2.7;8
double_vitrage;;;air;18;18;20;;75;2.7;9
double_vitrage;;;air;20;20;;;75;2.7;10
double_vitrage;;;air;6;;8;75;;3.7;38
double_vitrage;;;air;8;8;10;75;;3.4;39
double_vitrage;;;air;10;10;12;75;;3.2;40
double_vitrage;;;air;12;12;14;75;;3.1;41
double_vitrage;;;air;14;14;15;75;;3.1;42
double_vitrage;;;air;15;15;16;75;;2.9;43
double_vitrage;;;air;16;16;18;75;;2.9;44
double_vitrage;;;air;18;18;20;75;;2.9;45
double_vitrage;;;air;20;20;;75;;2.9;46
double_vitrage;;;argon|krypton;6;;8;;75;3;20
double_vitrage;;;argon|krypton;8;8;10;;75;2.9;21
double_vitrage;;;argon|krypton;10;10;12;;75;2.8;22
double_vitrage;;;argon|krypton;12;12;14;;75;2.7;23
double_vitrage;;;argon|krypton;14;14;15;;75;2.6;24
double_vitrage;;;argon|krypton;15;15;16;;75;2.6;25
double_vitrage;;;argon|krypton;16;16;18;;75;2.6;26
double_vitrage;;;argon|krypton;18;18;20;;75;2.6;27
double_vitrage;;;argon|krypton;20;20;;;75;2.6;28
double_vitrage;;;argon|krypton;6;;8;75;;3.3;56
double_vitrage;;;argon|krypton;8;8;10;75;;3.2;57
double_vitrage;;;argon|krypton;10;10;12;75;;3.1;58
double_vitrage;;;argon|krypton;12;12;14;75;;2.9;59
double_vitrage;;;argon|krypton;14;14;15;75;;2.8;60
double_vitrage;;;argon|krypton;15;15;16;75;;2.8;61
double_vitrage;;;argon|krypton;16;16;18;75;;2.8;62
double_vitrage;;;argon|krypton;18;18;20;75;;2.8;63
double_vitrage;;;argon|krypton;20;20;;75;;2.8;64
double_vitrage_fe;;;air;6;;8;;75;2.45;11
double_vitrage_fe;;;air;8;8;10;;75;2.1;12
double_vitrage_fe;;;air;10;10;12;;75;1.8;13
double_vitrage_fe;;;air;12;12;14;;75;1.6;14
double_vitrage_fe;;;air;14;14;15;;75;1.5;15
