deltar;uw;ujn;tv_ujn_id
0.08;0.8;0.8;1
0.08;0.9;0.9;2
0.08;1;1;3
0.08;1.1;1.1;4
0.08;1.2;1.1;5
0.08;1.3;1.2;6
0.08;1.4;1.3;7
0.08;1.5;1.4;8
0.08;1.6;1.5;9
0.08;1.7;1.6;10
0.08;1.8;1.7;11
0.08;1.9;1.8;12
0.08;2;1.9;13
0.08;2.1;1.9;14
0.08;2.2;2;15
0.08;2.3;2.1;16
0.08;2.4;2.2;17
0.08;2.5;2.3;18
0.08;2.6;2.4;19
0.08;2.7;2.5;20
0.08;2.8;2.5;21
0.08;2.9;2.6;22
0.08;3;2.7;23
0.08;3.1;2.8;24
0.08;3.2;2.9;25
0.08;3.3;3;26
0.08;3.4;3;27
0.08;3.5;3.1;28
0.08;3.6;3.2;29
0.08;3.7;3.3;30
0.08;3.8;3.4;31
0.08;3.9;3.4;32
0.08;4;3.5;33
0.08;4.1;3.6;34
0.08;4.2;3.7;35
0.08;4.3;3.7;36
0.08;4.4;3.8;37
0.08;4.5;3.9;38
0.08;4.6;4;39
0.08;4.7;4.1;40
0.08;4.8;4.1;41
0.08;4.9;4.2;42
0.08;5;4.3;43
0.08;5.1;4.4;44
0.08;5.2;4.4;45
0.08;5.3;4.5;46
0.08;5.4;4.6;47
0.08;5.5;4.7;48
0.08;5.6;4.7;49
0.08;5.7;4.8;50
0.08;5.8;4.9;51
0.08;5.9;5;52
0.08;6;5;53
0.08;6.1;5.1;54
0.08;6.2;5.2;55
0.08;6.3;5.2;56
0.08;6.4;5.3;57
0.08;6.5;5.4;58
0.08;6.6;5.5;59
0.15;0.8;0.8;60
0.15;0.9;0.8;61
0.15;1;0.9;62
0.15;1.1;1;63
0.15;1.2;1.1;64
0.15;1.3;1.2;65
0.15;1.4;1.3;66
0.15;1.5;1.4;67
0.15;1.6;1.5;68
0.15;1.7;1.5;69
0.15;1.8;1.6;70
0.15;1.9;1.7;71
0.15;2;1.8;72
0.15;2.1;1.9;73
0.15;2.2;1.9;74
0.15;2.3;2;75
0.15;2.4;2.1;76
0.15;2.5;2.2;77
0.15;2.6;2.3;78
0.15;2.7;2.3;79
0.15;2.8;2.4;80
0.15;2.9;2.5;81
0.15;3;2.6;82
0.15;3.1;2.6;83
0.15;3.2;2.7;84
0.15;3.3;2.8;85
0.15;3.4;2.9;86
0.15;3.5;2.9;87
0.15;3.6;3;88
0.15;3.7;3.1;89
0.15;3.8;3.1;90
0.15;3.9;3.2;91
0.15;4;3.3;92
0.15;4.1;3.4;93
0.15;4.2;3.4;94
0.15;4.3;3.5;95
0.15;4.4;3.6;96
0.15;4.5;3.6;97
0.15;4.6;3.7;98
0.15;4.7;3.8;99
0.15;4.8;3.8;100
0.15;4.9;3.9;101
0.15;5;4;102
0.15;5.1;4;103
0.15;5.2;4.1;104
0.15;5.3;4.2;105
0.15;5.4;4.2;106
0.15;5.5;4.3;107
0.15;5.6;4.4;108
0.15;5.7;4.4;109
0.15;5.8;4.5;110
0.15;5.9;4.6;111
0.15;6;4.6;112
0.15;6.1;4.7;113
0.15;6.2;4.8;114
0.15;6.3;4.8;115
0.15;6.4;4.9;116
0.15;6.5;5;117
0.15;6.6;5;118
0.19;0.8;0.7;119
0.19;0.9;0.8;120
0.19;1;0.9;121
0.19;1.1;1;122
0.19;1.2;1.1;123
0.19;1.3;1.2;124
0.19;1.4;1.3;125
0.19;1.5;1.3;126
0.19;1.6;1.4;127
0.19;1.7;1.5;128
0.19;1.8;1.6;129
0.19;1.9;1.6;130
0.19;2;1.7;131
0.19;2.1;1.8;132
0.19;2.2;1.9;133
0.19;2.3;2;134
0.19;2.4;2;135
