type_baie;soubassement;materiau;rupteur_pont_thermique;ug;uw;tv_uw_id
brique_verre_pleine;;;;;3.5;1
brique_verre_creuse;;;;;2;2
polycarbonate;;;;;3;3
fenetre_battante;;metal;1;0.5;1.3;4
fenetre_battante;;metal;1;0.6;1.4;5
fenetre_battante;;metal;1;0.7;1.5;6
fenetre_battante;;metal;1;0.8;1.6;7
fenetre_battante;;metal;1;0.9;1.6;8
fenetre_battante;;metal;1;1;1.7;9
fenetre_battante;;metal;1;1.1;1.8;10
fenetre_battante;;metal;1;1.2;1.9;11
fenetre_battante;;metal;1;1.3;2;12
fenetre_battante;;metal;1;1.4;2.1;13
fenetre_battante;;metal;1;1.5;2.1;14
fenetre_battante;;metal;1;1.6;2.2;15
fenetre_battante;;metal;1;1.7;2.3;16
fenetre_battante;;metal;1;1.8;2.4;17
fenetre_battante;;metal;1;1.9;2.5;18
fenetre_battante;;metal;1;2;2.6;19
fenetre_battante;;metal;1;2.1;2.7;20
fenetre_battante;;metal;1;2.2;2.7;21
fenetre_battante;;metal;1;2.3;2.8;22
fenetre_battante;;metal;1;2.4;2.9;23
fenetre_battante;;metal;1;2.5;3;24
fenetre_battante;;metal;1;2.6;3.1;25
fenetre_battante;;metal;1;2.7;3.2;26
fenetre_battante;;metal;1;2.8;3.3;27
fenetre_battante;;metal;1;2.9;3.3;28
fenetre_battante;;metal;1;3;3.4;29
fenetre_battante;;metal;1;3.1;3.5;30
fenetre_battante;;metal;1;3.2;3.6;31
fenetre_battante;;metal;1;3.3;3.7;32
fenetre_battante;;metal;1;3.4;3.8;33
fenetre_battante;;metal;1;3.5;3.8;34
fenetre_battante;;metal;1;3.6;3.9;35
fenetre_battante;;metal;1;3.7;4;36
fenetre_battante;;metal;1;3.8;4.1;37
fenetre_battante;;metal;1;3.9;4.2;38
fenetre_battante;;metal;1;4;4.3;39
fenetre_battante;;metal;1;5.7;5.7;40
fenetre_battante;;metal;1;5.8;5.8;41
fenetre_battante;;metal;1;5.9;5.9;42
fenetre_battante;;metal;1;6;6;43
fenetre_coulissante;;metal;1;0.5;1.4;44
fenetre_coulissante;;metal;1;0.6;1.5;45
fenetre_coulissante;;metal;1;0.7;1.6;46
fenetre_coulissante;;metal;1;0.8;1.6;47
fenetre_coulissante;;metal;1;0.9;1.7;48
fenetre_coulissante;;metal;1;1;1.8;49
fenetre_coulissante;;metal;1;1.1;1.9;50
fenetre_coulissante;;metal;1;1.2;2;51
fenetre_coulissante;;metal;1;1.3;2;52
fenetre_coulissante;;metal;1;1.4;2.1;53
fenetre_coulissante;;metal;1;1.5;2.2;54
fenetre_coulissante;;metal;1;1.6;2.3;55
fenetre_coulissante;;metal;1;1.7;2.4;56
fenetre_coulissante;;metal;1;1.8;2.4;57
fenetre_coulissante;;metal;1;1.9;2.5;58
fenetre_coulissante;;metal;1;2;2.6;59
fenetre_coulissante;;metal;1;2.1;2.8;60
fenetre_coulissante;;metal;1;2.2;2.9;61
fenetre_coulissante;;metal;1;2.3;2.9;62
fenetre_coulissante;;metal;1;2.4;3;63
fenetre_coulissante;;metal;1;2.5;3.1;64
fenetre_coulissante;;metal;1;2.6;3.2;65
fenetre_coulissante;;metal;1;2.7;3.3;66
fenetre_coulissante;;metal;1;2.8;3.3;67
fenetre_coulissante;;metal;1;2.9;3.4;68
fenetre_coulissante;;metal;1;3;3.5;69
fenetre_coulissante;;metal;1;3.1;3.6;70
fenetre_coulissante;;metal;1;3.2;3.7;71
fenetre_coulissante;;metal;1;3.3;3.7;72
fenetre_coulissante;;metal;1;3.4;3.8;73
fenetre_coulissante;;metal;1;3.5;3.9;74
fenetre_coulissante;;metal;1;3.6;4;75
fenetre_coulissante;;metal;1;3.7;4.1;76
fenetre_coulissante;;metal;1;3.8;4.1;77
fenetre_coulissante;;metal;1;3.9;4.2;78
fenetre_coulissante;;metal;1;4;4.3;79
fenetre_coulissante;;metal;1;5.7;5.7;80
fenetre_coulissante;;metal;1;5.8;5.8;81
fenetre_coulissante;;metal;1;5.9;5.9;82
