type_vitrage;materiau;presence_rupteur_pont_thermique;t;tv_coef_transparence_ets_id
polycarbonate|brique_verre;;;0,4;1
simple_vitrage;bois;;0,62;2
double_vitrage;bois;;0,55;3
double_vitrage_fe;bois;;0,48;4
triple_vitrage;bois;;0,49;5
triple_vitrage_fe;bois;;0,44;6
simple_vitrage;bois_metal;;0,62;2
double_vitrage;bois_metal;;0,55;3
double_vitrage_fe;bois_metal;;0,48;4
triple_vitrage;bois_metal;;0,49;5
triple_vitrage_fe;bois_metal;;0,44;6
simple_vitrage;pvc;;0,5;7
double_vitrage;pvc;;0,45;8
double_vitrage_fe;pvc;;0,39;9
triple_vitrage;pvc;;0,4;10
triple_vitrage_fe;pvc;;0,36;11
simple_vitrage;metal;1;0,63;12
double_vitrage;metal;1;0,56;13
double_vitrage_fe;metal;1;0,48;14
triple_vitrage;metal;1;0,5;15
triple_vitrage_fe;metal;1;0,45;16
simple_vitrage;metal;0;0,64;17
double_vitrage;metal;0;0,58;18
double_vitrage_fe;metal;0;0,5;19
triple_vitrage;metal;0;0,52;20
triple_vitrage_fe;metal;0;0,47;21
