type_masque;orientation_facade;avancee_masque/gte;avancee_masque/le;fe1;avancee_defaut;tv_coef_masque_proche_id
fond_balcon|fond_et_flanc_loggias;nord;0;1;0.4;0.5;1
fond_balcon|fond_et_flanc_loggias;nord;1;2;0.3;1.5;2
fond_balcon|fond_et_flanc_loggias;nord;2;3;0.2;2.5;3
fond_balcon|fond_et_flanc_loggias;nord;3;;0.1;3.5;4
fond_balcon|fond_et_flanc_loggias;sud;0;1;0.5;0.5;5
fond_balcon|fond_et_flanc_loggias;sud;1;2;0.4;1.5;6
fond_balcon|fond_et_flanc_loggias;sud;2;3;0.3;2.5;7
fond_balcon|fond_et_flanc_loggias;sud;3;;0.2;3.5;8
fond_balcon|fond_et_flanc_loggias;est;0;1;0.45;0.5;9
fond_balcon|fond_et_flanc_loggias;est;1;2;0.35;1.5;10
fond_balcon|fond_et_flanc_loggias;est;2;3;0.25;2.5;11
fond_balcon|fond_et_flanc_loggias;est;3;;0.15;3.5;12
fond_balcon|fond_et_flanc_loggias;ouest;0;1;0.45;0.5;9
fond_balcon|fond_et_flanc_loggias;ouest;1;2;0.35;1.5;10
fond_balcon|fond_et_flanc_loggias;ouest;2;3;0.25;2.5;11
fond_balcon|fond_et_flanc_loggias;ouest;3;;0.15;3.5;12
balcon_ou_auvent;;0;1;0.8;0.5;13
balcon_ou_auvent;;1;2;0.6;1.5;14
balcon_ou_auvent;;2;3;0.5;2.5;15
balcon_ou_auvent;;3;;0.4;3.5;16
paroi_laterale_sans_obstacle_au_sud;;;;0.7;;17
paroi_laterale_avec_obstacle_au_sud;;;;0.5;;18
