type_masque;orientation_facade;hauteur_masque_alpha/gte;hauteur_masque_alpha/lt;fe2;hauteur_alpha_defaut;tv_coef_masque_lointain_homogene_id
homogene;nord;0;15;1;7.5;1
homogene;nord;15;30;0.82;22.5;2
homogene;nord;30;60;0.5;45;3
homogene;nord;60;;0.3;60;4
homogene;sud;0;15;1;7.5;5
homogene;sud;15;30;0.8;22.5;6
homogene;sud;30;60;0.3;45;7
homogene;sud;60;;0.1;60;8
homogene;est;0;15;1;7.5;9
homogene;est;15;30;0.77;22.5;10
homogene;est;30;60;0.4;45;11
homogene;est;60;;0.2;60;12
homogene;ouest;0;15;1;7.5;9
homogene;ouest;15;30;0.77;22.5;10
homogene;ouest;30;60;0.4;45;11
homogene;ouest;60;;0.2;60;12
