type_mur;epaisseur_mur/lt;epaisseur_mur/lte;epaisseur_mur/gt;epaisseur_mur/gte;annee_construction/lte;annee_construction/gte;u0;tv_umur0_id;epaisseur_mur_defaut
pierre_moellons;;20;;;;;3.2;2;20
pierre_moellons;;27.5;20;;;;2.85;3;25
pierre_moellons;;32.5;27.5;;;;2.65;4;30
pierre_moellons;;37.5;32.5;;;;2.45;5;35
pierre_moellons;;42.5;37.5;;;;2.3;6;40
pierre_moellons;;47.5;42.5;;;;2.15;7;45
pierre_moellons;;52.5;47.5;;;;2.05;8;50
pierre_moellons;;57.5;52.5;;;;1.9;9;55
pierre_moellons;;62.5;57.5;;;;1.8;10;60
pierre_moellons;;67.5;62.5;;;;1.75;11;65
pierre_moellons;;72.5;67.5;;;;1.65;12;70
pierre_moellons;80;;72.5;;;;1.55;13;75
pierre_moellons;;;;80;;;1.5;14;80
pierre_moellons_avec_remplissage;;50;;;;;1.9;15;50
pierre_moellons_avec_remplissage;;57.5;50;;;;1.75;16;55
pierre_moellons_avec_remplissage;;62.5;57.5;;;;1.6;17;60
pierre_moellons_avec_remplissage;;67.5;62.5;;;;1.5;18;65
pierre_moellons_avec_remplissage;;72.5;67.5;;;;1.45;19;70
pierre_moellons_avec_remplissage;80;;72.5;;;;1.3;20;75
pierre_moellons_avec_remplissage;;;;80;;;1.25;21;80
pise_ou_beton_terre;;40;;;;;1.75;22;40
pise_ou_beton_terre;;47.5;40;;;;1.65;23;45
pise_ou_beton_terre;;52.5;47.5;;;;1.55;24;50
pise_ou_beton_terre;;57.5;52.5;;;;1.45;25;55
pise_ou_beton_terre;;62.5;57.5;;;;1.35;26;60
pise_ou_beton_terre;;67.5;62.5;;;;1.25;27;65
pise_ou_beton_terre;;72.5;67.5;;;;1.2;28;70
pise_ou_beton_terre;80;;72.5;;;;1.15;29;75
pise_ou_beton_terre;;;;80;;;1.1;30;80
pan_bois_sans_remplissage;;8;;;;;3;31;8
pan_bois_sans_remplissage;;11.5;8;;;;2.7;32;10
pan_bois_sans_remplissage;;15.5;11.5;;;;2.35;33;13
pan_bois_sans_remplissage;;21;15.5;;;;1.98;34;18
pan_bois_sans_remplissage;32;;21;;;;1.65;35;24
pan_bois_sans_remplissage;;;;32;;;1.35;36;32
pan_bois_avec_remplissage;;;;;;;1.7;37;
bois_rondin;;10;;;;;1.6;38;10
bois_rondin;;17.5;10;;;;1.2;39;15
bois_rondin;25;;17.5;;;;0.95;40;20
bois_rondin;;;;25;;;0.8;41;25
brique_pleine_simple;;9;;;;;3.9;42;9
brique_pleine_simple;;13.5;9;;;;3.45;43;12
brique_pleine_simple;;17;13.5;;;;3.05;44;15
brique_pleine_simple;;21;17;;;;2.75;45;19
brique_pleine_simple;;25.5;21;;;;2.5;46;23
brique_pleine_simple;;31;25.5;;;;2.25;47;28
brique_pleine_simple;;39.5;31;;;;2;48;34
brique_pleine_simple;;50;39.5;;;;1.65;49;45
brique_pleine_simple;;57.5;50;;;;1.45;50;55
brique_pleine_simple;70;;57.5;;;;1.35;51;60
brique_pleine_simple;;;;70;;;1.2;52;70
brique_pleine_double_avec_lame_air;;20;;;;;2;53;20
brique_pleine_double_avec_lame_air;;27.5;20;;;;1.85;54;25
brique_pleine_double_avec_lame_air;;32.5;27.5;;;;1.65;55;30
brique_pleine_double_avec_lame_air;;40;32.5;;;;1.55;56;35
brique_pleine_double_avec_lame_air;;47.5;40;;;;1.35;57;45
brique_pleine_double_avec_lame_air;60;;47.5;;;;1.25;58;50
brique_pleine_double_avec_lame_air;;;;60;;;1.2;59;60
brique_creuse;;15;;;;;2.15;60;15
brique_creuse;;19;15;;;;2.05;61;18
brique_creuse;;21.5;19;;;;2;62;20
brique_creuse;;24;21.5;;;;1.85;63;23
brique_creuse;;26.5;24;;;;1.7;64;25
brique_creuse;;30.5;26.5;;;;1.68;65;28
brique_creuse;;35.5;30.5;;;;1.65;66;33
brique_creuse;43;;35.5;;;;1.55;67;38
brique_creuse;;;;43;;;1.4;68;43
bloc_beton_plein;;20;;;;;2.9;69;20
bloc_beton_plein;;24;20;;;;2.75;70;23
bloc_beton_plein;;26.5;24;;;;2.6;71;25
bloc_beton_plein;;29;26.5;;;;2.5;72;28
bloc_beton_plein;;31.5;29;;;;2.4;73;30
bloc_beton_plein;;34;31.5;;;;2.3;74;33
bloc_beton_plein;;36.5;34;;;;2.2;75;35
bloc_beton_plein;;39;36.5;;;;2.1;76;38
bloc_beton_plein;;;39;;;;2.05;77;40
bloc_beton_creux;;20;;;;;2.8;78;20
bloc_beton_creux;25;;20;;;;2.65;79;23
bloc_beton_creux;;;;25;;;2.3;80;25
beton_banche;;20;;;;;2.9;81;20
beton_banche;;23.75;20;;;;2.75;82;22.5
beton_banche;;26.5;23.75;;;;2.65;83;25
beton_banche;;29;26.5;;;;2.5;84;28
beton_banche;;32.5;29;;;;2.4;85;30
beton_banche;;37.5;32.5;;;;2.2;86;35
beton_banche;45;;37.5;;;;2.05;87;40
beton_banche;;;;45;;;1.9;88;45
beton_machefer;;20;;;;;2.75;89;20
beton_machefer;;23.75;20;;;;2.5;90;22.5
beton_machefer;;26.5;23.75;;;;2.4;91;25
beton_machefer;;29;26.5;;;;2.25;92;28
beton_machefer;;32.5;29;;;;2.15;93;30
beton_machefer;40;;32.5;;;;1.95;94;35
beton_machefer;;;;40;;;1.8;95;40
brique_terre_cuite_alveolaire;;33.75;;;;;0.47;96;30
brique_terre_cuite_alveolaire;;;33.75;;;;0.4;97;37.5
beton_cellulaire;;15;;;2012;;0.9;98;15
beton_cellulaire;;18.75;15;;2012;;0.79;99;17.5
beton_cellulaire;;21.25;18.75;;2012;;0.7;100;20
beton_cellulaire;;23.75;21.25;;2012;;0.63;101;22.5
beton_cellulaire;;26.25;23.75;;2012;;0.57;102;25
beton_cellulaire;;28.75;26.25;;2012;;0.53;103;27.5
beton_cellulaire;;31.25;28.75;;2012;;0.49;104;30
beton_cellulaire;;33.75;31.25;;2012;;0.45;105;32.5
beton_cellulaire;;36.25;33.75;;2012;;0.42;106;35
beton_cellulaire;;26.25;36.25;;2012;;0.4;107;37.5
beton_cellulaire;;16.25;26.25;;;2013;0.69;108;15
beton_cellulaire;;18.75;16.25;;;2013;0.6;109;17.5
beton_cellulaire;;21.25;18.75;;;2013;0.53;110;20
beton_cellulaire;;23.75;21.25;;;2013;0.48;111;22.5
beton_cellulaire;;26.25;23.75;;;2013;0.43;112;25
beton_cellulaire;;28.75;26.25;;;2013;0.4;113;27.5
beton_cellulaire;;31.25;28.75;;;2013;0.36;114;30
beton_cellulaire;;33.75;31.25;;;2013;0.3;115;32.5
beton_cellulaire;37.5;;33.75;;;2013;0.28;116;35
beton_cellulaire;;;;37.5;;2013;0.22;117;37.5
ossature_bois_avec_remplissage_isolant;;10;;;;2006;0.45;118;10
ossature_bois_avec_remplissage_isolant;;17.5;10;;;2006;0.35;119;15
ossature_bois_avec_remplissage_isolant;;22.5;17.5;;;2006;0.26;120;20
ossature_bois_avec_remplissage_isolant;;27.5;22.5;;;2006;0.21;121;25
ossature_bois_avec_remplissage_isolant;;32.5;27.5;;;2006;0.17;122;30
ossature_bois_avec_remplissage_isolant;;37.5;32.5;;;2006;0.15;123;35
ossature_bois_avec_remplissage_isolant;45;;37.5;;;2006;0.13;124;40
ossature_bois_avec_remplissage_isolant;;;;45;;2006;0.11;125;45
sandwich_beton_isolant_beton_sans_isolation_rapportee;;15;;;;;0.9;126;15
sandwich_beton_isolant_beton_sans_isolation_rapportee;25;;15;;;;0.48;127;20
sandwich_beton_isolant_beton_sans_isolation_rapportee;;;;25;;;0.45;128;25
cloison_platre;;;;;;;3.33;129;
ossature_bois_avec_remplissage_isolant;;10;;;2005;2001;0.52;130;10
ossature_bois_avec_remplissage_isolant;;17.5;10;;2005;2001;0.41;131;15
ossature_bois_avec_remplissage_isolant;;22.5;17.5;;2005;2001;0.3;132;20
