zone_climatique;orientation_ets;isolation_paroi;bver;tv_coef_reduction_deperdition_id
H1a|H1b|H1c;sud;1;0.58;269
H1a|H1b|H1c;sud;0;0.55;270
H1a|H1b|H1c;nord;1;0.95;265
H1a|H1b|H1c;nord;0;0.85;266
H1a|H1b|H1c;est|ouest;1;0.63;267
H1a|H1b|H1c;est|ouest;0;0.6;268
H2a|H2b|H2c|H2d;sud;1;0.57;275
H2a|H2b|H2c|H2d;sud;0;0.55;276
H2a|H2b|H2c|H2d;nord;1;0.95;271
H2a|H2b|H2c|H2d;nord;0;0.85;272
H2a|H2b|H2c|H2d;est|ouest;1;0.6;273
H2a|H2b|H2c|H2d;est|ouest;0;0.58;274
H3;sud;1;0.48;281
H3;sud;0;0.55;282
H3;nord;1;0.95;277
H3;nord;0;0.85;278
H3;est|ouest;1;0.53;279
H3;est|ouest;0;0.53;280
