mitoyennete;annee_construction/gte;annee_construction/lte;2s/p;u;ue;tv_ue_id
vide_sanitaire|sous_sol_non_chauffe;;;3;3.33;0.45;1
vide_sanitaire|sous_sol_non_chauffe;;;4;3.33;0.43;2
vide_sanitaire|sous_sol_non_chauffe;;;5;3.33;0.38;3
vide_sanitaire|sous_sol_non_chauffe;;;6;3.33;0.37;4
vide_sanitaire|sous_sol_non_chauffe;;;7;3.33;0.36;5
vide_sanitaire|sous_sol_non_chauffe;;;8;3.33;0.35;6
vide_sanitaire|sous_sol_non_chauffe;;;9;3.33;0.34;7
vide_sanitaire|sous_sol_non_chauffe;;;10;3.33;0.33;8
vide_sanitaire|sous_sol_non_chauffe;;;12;3.33;0.28;9
vide_sanitaire|sous_sol_non_chauffe;;;14;3.33;0.28;10
vide_sanitaire|sous_sol_non_chauffe;;;16;3.33;0.28;11
vide_sanitaire|sous_sol_non_chauffe;;;18;3.33;0.28;12
vide_sanitaire|sous_sol_non_chauffe;;;20;3.33;0.24;13
vide_sanitaire|sous_sol_non_chauffe;;;3;1.43;0.42;14
vide_sanitaire|sous_sol_non_chauffe;;;4;1.43;0.4;15
vide_sanitaire|sous_sol_non_chauffe;;;5;1.43;0.36;16
vide_sanitaire|sous_sol_non_chauffe;;;6;1.43;0.35;17
vide_sanitaire|sous_sol_non_chauffe;;;7;1.43;0.34;18
vide_sanitaire|sous_sol_non_chauffe;;;8;1.43;0.33;19
vide_sanitaire|sous_sol_non_chauffe;;;9;1.43;0.32;20
vide_sanitaire|sous_sol_non_chauffe;;;10;1.43;0.31;21
vide_sanitaire|sous_sol_non_chauffe;;;12;1.43;0.27;22
vide_sanitaire|sous_sol_non_chauffe;;;14;1.43;0.27;23
vide_sanitaire|sous_sol_non_chauffe;;;16;1.43;0.27;24
vide_sanitaire|sous_sol_non_chauffe;;;18;1.43;0.26;25
vide_sanitaire|sous_sol_non_chauffe;;;20;1.43;0.23;26
vide_sanitaire|sous_sol_non_chauffe;;;3;0.83;0.39;27
vide_sanitaire|sous_sol_non_chauffe;;;4;0.83;0.37;28
vide_sanitaire|sous_sol_non_chauffe;;;5;0.83;0.34;29
vide_sanitaire|sous_sol_non_chauffe;;;6;0.83;0.33;30
