configuration;zone_climatique;effet_joule;annee_construction_isolation/lte;annee_construction_isolation/gte;u;tv_uph_id
plancher|rampants;H1a|H1b|H1c;1;1974;;2.5;1
plancher|rampants;H1a|H1b|H1c;0;1974;;2.5;2
plancher|rampants;H2a|H2b|H2c|H2d;1;1974;;2.5;3
plancher|rampants;H2a|H2b|H2c|H2d;0;1974;;2.5;4
plancher|rampants;H3;1;1974;;2.5;5
plancher|rampants;H3;0;1974;;2.5;6
plancher|rampants;H1a|H1b|H1c;1;1977;1975;0.5;7
plancher|rampants;H1a|H1b|H1c;0;1977;1975;0.5;8
plancher|rampants;H2a|H2b|H2c|H2d;1;1977;1975;0.53;9
plancher|rampants;H2a|H2b|H2c|H2d;0;1977;1975;0.53;10
plancher|rampants;H3;1;1977;1975;0.56;11
plancher|rampants;H3;0;1977;1975;0.56;12
plancher|rampants;H1a|H1b|H1c;1;1982;1978;0.4;13
plancher|rampants;H1a|H1b|H1c;0;1982;1978;0.5;14
plancher|rampants;H2a|H2b|H2c|H2d;1;1982;1978;0.42;15
plancher|rampants;H2a|H2b|H2c|H2d;0;1982;1978;0.53;16
plancher|rampants;H3;1;1982;1978;0.44;17
plancher|rampants;H3;0;1982;1978;0.56;18
plancher|rampants;H1a|H1b|H1c;1;1988;1983;0.3;19
plancher|rampants;H1a|H1b|H1c;0;1988;1983;0.3;20
plancher|rampants;H2a|H2b|H2c|H2d;1;1988;1983;0.32;21
plancher|rampants;H2a|H2b|H2c|H2d;0;1988;1983;0.32;22
plancher|rampants;H3;1;1988;1983;0.33;23
plancher|rampants;H3;0;1988;1983;0.33;24
plancher|rampants;H1a|H1b|H1c;1;2000;1989;0.25;25
plancher|rampants;H1a|H1b|H1c;0;2000;1989;0.25;26
plancher|rampants;H2a|H2b|H2c|H2d;1;2000;1989;0.26;27
plancher|rampants;H2a|H2b|H2c|H2d;0;2000;1989;0.26;28
plancher|rampants;H3;1;2000;1989;0.3;29
plancher|rampants;H3;0;2000;1989;0.3;30
plancher|rampants;H1a|H1b|H1c;1;2005;2001;0.23;31
plancher|rampants;H1a|H1b|H1c;0;2005;2001;0.23;32
