type_liaison;isolation_mur;type_isolation_mur;isolation_plancher;type_isolation_plancher;type_pose_menuiserie;presence_retour_isolation;largeur_dormant/lte;largeur_dormant/gt;kpt;tv_pont_thermique_id
refend_mur;0;;;;;;;;0.73;64
refend_mur;1;iti;;;;;;;0.82;65
refend_mur;1;ite;;;;;;;0.13;66
refend_mur;1;itr;;;;;;;0.2;67
refend_mur;1;iti_ite;;;;;;;0.13;68
refend_mur;1;itr_iti;;;;;;;0.2;69
refend_mur;1;itr_ite;;;;;;;0.13;70
refend_mur;1;itr_iti_ite;;;;;;;0.13;70
plancher_intermediaire_mur;0;;;;;;;;0.86;29
plancher_intermediaire_mur;1;iti;;;;;;;0.92;30
plancher_intermediaire_mur;1;ite;;;;;;;0.13;31
plancher_intermediaire_mur;1;itr;;;;;;;0.24;32
plancher_intermediaire_mur;1;iti_ite;;;;;;;0.13;33
plancher_intermediaire_mur;1;itr_iti;;;;;;;0.24;34
plancher_intermediaire_mur;1;itr_ite;;;;;;;0.13;35
plancher_intermediaire_mur;1;itr_iti_ite;;;;;;;0.13;35
plancher_haut_mur;0;;0;;;;;;0.3;36
plancher_haut_mur;0;;1;iti;;;;;0.83;37
plancher_haut_mur;0;;1;ite;;;;;0.4;38
plancher_haut_mur;0;;1;itr;;;;;0.4;38
plancher_haut_mur;0;;1;itr_ite;;;;;0.4;38
plancher_haut_mur;0;;1;iti_ite;;;;;0.4;39
plancher_haut_mur;0;;1;itr_iti;;;;;0.4;39
plancher_haut_mur;0;;1;itr_iti_ite;;;;;0.4;39
plancher_haut_mur;1;iti;0;;;;;;0.27;40
plancher_haut_mur;1;iti;1;iti;;;;;0.07;41
plancher_haut_mur;1;iti;1;ite;;;;;0.75;42
plancher_haut_mur;1;iti;1;itr;;;;;0.75;42
plancher_haut_mur;1;iti;1;itr_ite;;;;;0.75;42
plancher_haut_mur;1;iti;1;iti_ite;;;;;0.07;43
plancher_haut_mur;1;iti;1;itr_iti;;;;;0.07;43
plancher_haut_mur;1;iti;1;itr_iti_ite;;;;;0.07;43
plancher_haut_mur;1;ite;0;;;;;;0.55;44
plancher_haut_mur;1;ite;1;iti;;;;;0.76;45
plancher_haut_mur;1;ite;1;ite;;;;;0.58;46
plancher_haut_mur;1;ite;1;itr;;;;;0.58;46
plancher_haut_mur;1;ite;1;itr_ite;;;;;0.58;46
plancher_haut_mur;1;ite;1;iti_ite;;;;;0.58;47
plancher_haut_mur;1;ite;1;itr_iti;;;;;0.58;47
plancher_haut_mur;1;ite;1;itr_iti_ite;;;;;0.58;47
plancher_haut_mur;1;itr;0;;;;;;0.4;48
plancher_haut_mur;1;itr;1;iti;;;;;0.3;49
plancher_haut_mur;1;itr;1;ite;;;;;0.48;50
plancher_haut_mur;1;itr;1;itr;;;;;0.48;50
plancher_haut_mur;1;itr;1;itr_ite;;;;;0.48;50
plancher_haut_mur;1;itr;1;iti_ite;;;;;0.3;51
plancher_haut_mur;1;itr;1;itr_iti;;;;;0.3;51
plancher_haut_mur;1;itr;1;itr_iti_ite;;;;;0.3;51
plancher_haut_mur;1;iti_ite;0;;;;;;0.27;52
plancher_haut_mur;1;iti_ite;1;iti;;;;;0.07;53
plancher_haut_mur;1;iti_ite;1;ite;;;;;0.58;54
plancher_haut_mur;1;iti_ite;1;itr;;;;;0.58;54
plancher_haut_mur;1;iti_ite;1;itr_ite;;;;;0.58;54
plancher_haut_mur;1;iti_ite;1;iti_ite;;;;;0.07;55
plancher_haut_mur;1;iti_ite;1;itr_iti;;;;;0.07;55
plancher_haut_mur;1;iti_ite;1;itr_iti_ite;;;;;0.07;55
plancher_haut_mur;1;itr_iti;0;;;;;;0.27;56
plancher_haut_mur;1;itr_iti_ite;0;;;;;;0.27;56
plancher_haut_mur;1;itr_iti;1;iti;;;;;0.07;57
plancher_haut_mur;1;itr_iti_ite;1;iti;;;;;0.07;57
plancher_haut_mur;1;itr_iti;1;ite;;;;;0.48;58
plancher_haut_mur;1;itr_iti;1;itr;;;;;0.48;58
plancher_haut_mur;1;itr_iti;1;itr_ite;;;;;0.48;58
plancher_haut_mur;1;itr_iti_ite;1;ite;;;;;0.48;58
plancher_haut_mur;1;itr_iti_ite;1;itr;;;;;0.48;58
plancher_haut_mur;1;itr_iti_ite;1;itr_ite;;;;;0.48;58
plancher_haut_mur;1;itr_iti;1;iti_ite;;;;;0.07;59
plancher_haut_mur;1;itr_iti;1;itr_iti;;;;;0.07;59
plancher_haut_mur;1;itr_iti;1;itr_iti_ite;;;;;0.07;59
plancher_haut_mur;1;itr_iti_ite;1;iti_ite;;;;;0.07;59
plancher_haut_mur;1;itr_iti_ite;1;itr_iti;;;;;0.07;59
plancher_haut_mur;1;itr_iti_ite;1;itr_iti_ite;;;;;0.07;59
plancher_haut_mur;1;itr_ite;0;;;;;;0.4;60
plancher_haut_mur;1;itr_ite;1;iti;;;;;0.3;61
plancher_haut_mur;1;itr_ite;1;ite;;;;;0.48;62
plancher_haut_mur;1;itr_ite;1;itr;;;;;0.48;62
plancher_haut_mur;1;itr_ite;1;itr_ite;;;;;0.48;62
plancher_haut_mur;1;itr_ite;1;iti_ite;;;;;0.3;63
plancher_haut_mur;1;itr_ite;1;itr_iti;;;;;0.3;63
plancher_haut_mur;1;itr_ite;1;itr_iti_ite;;;;;0.3;63
plancher_bas_mur;0;;0;;;;;;0.39;1
plancher_bas_mur;0;;1;iti;;;;;0.47;2
plancher_bas_mur;0;;1;ite;;;;;0.8;3
plancher_bas_mur;0;;1;itr;;;;;0.8;3
plancher_bas_mur;0;;1;itr_ite;;;;;0.8;3
plancher_bas_mur;0;;1;iti_ite;;;;;0.47;4
plancher_bas_mur;0;;1;itr_iti;;;;;0.47;4
plancher_bas_mur;0;;1;itr_iti_ite;;;;;0.47;4
plancher_bas_mur;1;iti;0;;;;;;0.31;5
