presence_sas;materiau;isolation;type_vitrage;taux_vitrage/gt;taux_vitrage/lt;taux_vitrage/gte;taux_vitrage/eq;u;tv_uporte_id
1;;;;;;;;1.5;10
0;;1;;;;;0;1.5;9
0;;1;double_vitrage|triple_vitrage;0;;;;1.5;11
0;pvc|bois;;;;;;0;3.5;1
0;pvc|bois;;simple_vitrage;;30;;;4;2
0;pvc|bois;;simple_vitrage;;;30;;4.5;3
0;pvc|bois;;double_vitrage|triple_vitrage;0;;;;3.3;4
0;metal;;;;;;0;5.8;5
0;metal;;simple_vitrage;0;;;;5.8;6
0;metal;;double_vitrage|triple_vitrage;;30;;;5.5;7
0;metal;;double_vitrage|triple_vitrage;;;30;;4.8;8
