zone_climatique;altitude/lte;altitude/gt;cep/lt;cep/gte;eges/lt;eges/gte;etiquette_energie
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;70;;6;;A
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;110;70;11;;B
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;110;;11;6;B
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;180;110;30;;C
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;180;;30;11;C
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;250;180;50;;D
H1a|H1b|H1c|H2a|H2b|H2c|H2d|H3;;;250;;50;30;D
H1a|H2a|H2b|H2c|H3;;;330;250;70;;E
H1a|H2a|H2b|H2c|H3;;;330;;70;50;E
H1a|H2a|H2b|H2c|H3;;;420;330;100;;F
H1a|H2a|H2b|H2c|H3;;;420;;100;70;F
H1a|H2a|H2b|H2c|H3;;;;420;;;G
H1a|H2a|H2b|H2c|H3;;;;;;100;G
H1b|H1c|H2d;800;;330;250;70;;E
H1b|H1c|H2d;800;;330;;70;50;E
H1b|H1c|H2d;800;;420;330;100;;F
H1b|H1c|H2d;800;;420;;100;70;F
H1b|H1c|H2d;800;;;420;;;G
H1b|H1c|H2d;800;;;;;100;G
H1b|H1c|H2d;;800;390;250;80;;E
H1b|H1c|H2d;;800;390;;80;50;E
H1b|H1c|H2d;;800;500;390;110;;F
H1b|H1c|H2d;;800;500;;110;80;F
H1b|H1c|H2d;;800;;500;;;G
H1b|H1c|H2d;;800;;;;110;G
