id;contenu_co2;contenu_co2_acv;taux_enr;feges
0106C;0.014;0.037;0.95;0.037
0108C;0.057;0.081;0.775;0.081
0110C;0.118;0.171;0.392;0.171
0109C;0.157;0.198;0.418;0.198
0103C;0.026;0.049;0.896;0.049
0102C;0.057;0.089;0.858;0.089
0111C;0.081;0.123;0.836;0.123
0105C;0.02;0.045;0.933;0.045
0107C;0.001;0.021;0.998;0.021
0205C;0.008;0.029;0.974;0.029
0201C;0.056;0.093;0.667;0.093
0204C;0.049;0.078;0.844;0.078
0306C;0;0.019;1;0.019
0303C;0;0.022;1;0.022
0307C;0.036;0.06;0.867;0.06
0310C;0.018;0.039;0.926;0.039
0308C;0.022;0.049;0.93;0.049
0305C;0.023;0.053;0.973;0.053
0304C;0;0.064;1;0.064
0302C;0.093;0.124;0.586;0.124
0301C;0.051;0.083;0.733;0.083
0309C;0.056;0.096;0.733;0.096
0404C;0.007;0.03;0.972;0.03
0406C;0.105;0.146;0.725;0.146
0402C;0.014;0.037;0.941;0.037
0403C;0;0.022;1;0.022
0401C;0.053;0.077;0.783;0.077
0506C;0.009;0.032;0.971;0.032
0501C;0.017;0.042;0.953;0.042
0502C;0.004;0.024;0.988;0.024
0507C;0.006;0.031;0.984;0.031
0508C;0;0.022;1;0.022
0504C;0.067;0.087;0.679;0.087
0505C;0.243;0.27;0.303;0.27
0603C;0.068;0.092;0.705;0.092
0605C;0.122;0.223;0.895;0.223
0602C;0.226;0.254;0;0.254
0606C;0.171;0.121;0;0.121
0609C;0.003;0.008;0.989;0.008
0608C;0.064;0.032;0.663;0.032
0701C;0.032;0.056;0.891;0.056
0704C;0;0.017;1;0.017
0705C;0;0.031;1;0.031
0706C;0;0.022;1;0.022
0702C;0.022;0.046;0.949;0.046
0707C;0;0.028;1;0.028
0703C;0;0.02;1;0.02
0802C;0.12;0.166;0.425;0.166
0806C;0.082;0.105;0.686;0.105
0805C;0;0.025;1;0.025
0801C;0;0.018;1;0.018
0809C;0;0.046;1;0.046
0804C;0.108;0.15;0.754;0.15
0813C;0;0.022;1;0.022
0810C;0;0.033;1;0.033
0817C;0.004;0.025;0.985;0.025
0808C;0.079;0.109;0.765;0.109
0812C;0;0.017;1;0.017
0803C;0.115;0.157;0.567;0.157
0814C;0;0.027;1;0.027
0811C;0;0.029;1;0.029
1001C;0.183;0.203;0;0.203
1003C;0.12;0.16;0.668;0.16
1002C;0.086;0.109;0.632;0.109
1103C;0;0.018;1;0.018
1101C;0.155;0.193;0.612;0.193
1206C;0.009;0.033;0.971;0.033
1201C;0.062;0.088;0.758;0.088
1204C;0.083;0.11;0.703;0.11
1203C;0.055;0.081;0.823;0.081
1207C;0.026;0.049;0.912;0.049
1317C;0.063;0.086;0.736;0.086
1320C;0.06;0.086;0.79;0.086
1321C;0.063;0.032;0.718;0.032
1318C;0.107;0.133;0.55;0.133
1302C;0.169;0.219;0;0.219
1306C;0.252;0.283;0;0.283
1319C;0.05;0.026;0.77;0.026
1322C;0.187;0.086;0.868;0.086
1310C;0.277;0.307;0;0.307
1311C;0.065;0.095;0.71;0.095
1303C;0.252;0.283;0;0.283
1315C;0.272;0.328;0;0.328
1411C;0.058;0.081;0.747;0.081
1409C;0.022;0.046;0.93;0.046
1405C;0.051;0.075;0.792;0.075
1406C;0.055;0.078;0.786;0.078
1412C;0.089;0.118;0.713;0.118
1413C;0.079;0.104;0.679;0.104
1403C;0.13;0.161;0.506;0.161
1401C;0.02;0.026;0.92;0.026
1402C;0.079;0.104;0.668;0.104
1410C;0.048;0.073;0.85;0.073
1506C;0;0.022;1;0.022
1511C;0.031;0.053;0.881;0.053
1501C;0.007;0.032;0.969;0.032
1507C;0.004;0.028;0.987;0.028
1504C;0.005;0.03;0.985;0.03
1512C;0.002;0.022;0.995;0.022
1503C;0.003;0.025;0.991;0.025
1502C;0.002;0.034;0.996;0.034
1505C;0;0.022;1;0.022
1608C;0.127;0.153;0.458;0.153
1611C;0.181;0.208;0.226;0.208
1604C;0;0.02;1;0.02
1610C;0.028;0.051;0.891;0.051
1613C;0;0.022;1;0.022
1606C;0;0.024;1;0.024
1601C;0;0.049;1;0.049
1609C;0.012;0.05;0.978;0.05
1605C;0.193;0.223;0;0.223
1612C;0.093;0.117;0.616;0.117
1703C;0.041;0.065;0.855;0.065
1707C;0.035;0.059;0.875;0.059
1702C;0.03;0.062;0.941;0.062
1701C;0.049;0.083;0.725;0.083
1704C;0.019;0.025;0.932;0.025
1705C;0.061;0.09;0.794;0.09
1706C;0.007;0.026;0.971;0.026
1801C;0.016;0.037;0.935;0.037
1803C;0.191;0.193;0;0.193
1907C;0.028;0.034;0.894;0.034
1902C;0.005;0.016;0.984;0.016
1906C;0.319;0.365;0;0.365
1909C;0.117;0.144;0.523;0.144
1908C;0;0.004;1;0.004
1901C;0;0.004;1;0.004
1904C;0;0.022;1;0.022
1903C;0.061;0.094;0.856;0.094
2001C;0.001;0.025;0.999;0.025
2107C;0.125;0.166;0.658;0.166
2102C;0.077;0.101;0.646;0.101
2105C;0.072;0.108;0.554;0.108
2106C;0.043;0.061;0.805;0.061
2108C;0;0.019;1;0.019
2205C;0.011;0.044;0.968;0.044
2214C;0;0.019;1;0.019
2210C;0.062;0.088;0.792;0.088
2212C;0.041;0.064;0.829;0.064
2207C;0.026;0.069;0.959;0.069
2217C;0.078;0.197;0.949;0.197
2218C;0.013;0.066;0.986;0.066
2209C;0;0.021;1;0.021
2206C;0.05;0.091;0.872;0.091
2213C;0.001;0.022;0.998;0.022
2202C;0;0.029;1;0.029
2203C;0;0.022;1;0.022
2208C;0.09;0.116;0.654;0.116
2211C;0;0.023;1;0.023
2204C;0;0.004;1;0.004
2301C;0.018;0.043;0.947;0.043
2302C;0.038;0.065;0.869;0.065
2304C;0;0.037;1;0.037
2305C;0.043;0.065;0.82;0.065
2406C;0.033;0.057;0.88;0.057
2404C;0;0.019;1;0.019
2403C;0.024;0.053;0.933;0.053
2402C;0.041;0.085;0.816;0.085
2407C;0.05;0.073;0.799;0.073
2401C;0.141;0.169;0.49;0.169
2516C;0.033;0.064;0.91;0.064
2505C;0;0.269;0;0.269
2501C;0.068;0.086;0.736;0.086
2506C;0.041;0.067;0.858;0.067
2503C;0.091;0.119;0.689;0.119
2514C;0;0.023;1;0.023
2515C;0;0.02;1;0.02
2504C;0.049;0.083;0.873;0.083
2502C;0.076;0.088;0.679;0.088
2510C;0.271;0.304;0;0.304
2507C;0;0.019;1;0.019
2509C;0;0.021;1;0.021
2512C;0;0.022;1;0.022
2518C;0.015;0.02;0.942;0.02
2511C;0.019;0.025;0.936;0.025
2513C;0;0.027;1;0.027
2604C;0.216;0.257;0;0.257
2603C;0;0.117;0.696;0.117
2605C;0.164;0.211;0;0.211
2601C;0.132;0.163;0.483;0.163
2602C;0.068;0.11;0.855;0.11
2709C;0.144;0.324;0;0.324
2707C;0;0.022;1;0.022
2706C;0.009;0.034;0.972;0.034
2701C;0.08;0.092;0.656;0.092
2704C;0.241;0.27;0;0.27
2702C;0.069;0.094;0.718;0.094
2703C;0.265;0.297;0;0.297
2705C;0.209;0.236;0;0.236
2807C;0;0.119;0.904;0.119
2803C;0.073;0.1;0.766;0.1
2802C;0.023;0.3;0;0.3
2806C;0.168;0.196;0.337;0.196
2901C;0.032;0.043;0.88;0.043
2903C;0;0.004;1;0.004
2906C;0;0.004;1;0.004
2908C;0.038;0.062;0.859;0.062
2907C;0.051;0.077;0.819;0.077
2902C;0.047;0.072;0.844;0.072
2905C;0;0.021;1;0.021
3002C;0.064;0.091;0.685;0.091
3003C;0;0.019;1;0.019
3001C;0.109;0.134;0.562;0.134
3108C;0.09;0.12;0.774;0.12
3102C;0.101;0.127;0.591;0.127
3115C;0;0.004;1;0.004
3103C;0.06;0.052;0.749;0.052
3111C;0.104;0.132;0.633;0.132
3113C;0.149;0.174;0.344;0.174
3101C;0.002;0.006;0.994;0.006
3104C;0.041;0.047;0.833;0.047
3106C;0.059;0.075;0.811;0.075
3107C;0.078;0.101;0.743;0.101
3112C;0.049;0.06;0.811;0.06
3315C;0.054;0.079;0.786;0.079
3302C;0.044;0.237;0;0.237
3303C;0;0.017;1;0.017
3316C;0.047;0.119;0.613;0.119
3318C;0.063;0.115;0.572;0.115
3319C;0.005;0.01;0.978;0.01
3325C;0.088;0.108;0.529;0.108
3326C;0.082;0.106;0.664;0.106
3324C;0.029;0.046;0.853;0.046
3329C;0.017;0.042;0.942;0.042
3310C;0.002;0.027;0.992;0.027
3313C;0.003;0.028;0.991;0.028
3321C;0.084;0.097;0.635;0.097
3305C;0.096;0.07;0.569;0.07
3320C;0.06;0.09;0.831;0.09
