type_ventilation;presence_echangeur_thermique;installation_collective;annee_installation/gte;annee_installation/lte;qvarep_conv;qvasouf_conv;smea_conv
vmc_simple_flux_autoreglable|ventilation_mecanique_insufflation;;;;1981;1.97;0;2
vmc_simple_flux_autoreglable|ventilation_mecanique_insufflation;;;1982;2000;1.65;0;2
vmc_simple_flux_autoreglable|ventilation_mecanique_insufflation;;;2001;2012;1.5;0;2
vmc_simple_flux_autoreglable|ventilation_mecanique_insufflation;;;2013;;1.32;0;2
vmc_simple_flux_hygroreglable_a;;;;2000;1.5;0;2
vmc_simple_flux_hygroreglable_a;;;2001;2012;1.44;0;2
vmc_simple_flux_hygroreglable_a;;;2013;;1.16;0;2
vmc_simple_flux_hygroreglable_gaz;;;;2000;1.59;0;2
vmc_simple_flux_hygroreglable_gaz;;;2001;2012;1.53;0;2
vmc_simple_flux_hygroreglable_gaz;;;2013;;1.22;0;2
vmc_simple_flux_hygroreglable_b;;;;2000;1.36;0;1.5
vmc_simple_flux_hygroreglable_b;;;2001;2012;1.24;0;1.5
vmc_simple_flux_hygroreglable_b;;;2013;;1.09;0;1.5
vmc_basse_pression_autoreglable;;;;;1.97;0;2
vmc_basse_pression_hygroreglable_a;;;;;1.3;0;2
vmc_basse_pression_hygroreglable_b;;;;;1.24;0;1.5
vmc_double_flux;1;0;;2012;0.6;0.6;0
vmc_double_flux;1;0;2013;;0.26;0.26;0
vmc_double_flux;1;1;;2012;0.75;0.75;0
vmc_double_flux;1;1;2013;;0.46;0.46;0
vmc_double_flux;0;;;2012;1.65;1.65;0
vmc_double_flux;0;;2013;;1.32;1.32;0
ventilation_hybride;;;;2000;1.52;0;3
ventilation_hybride;;;2001;2012;1.33;0;3
ventilation_hybride;;;2013;;1.17;0;3
ventilation_hybride_entrees_air_hygoreglables;;;;2000;1.52;0;3
ventilation_hybride_entrees_air_hygoreglables;;;2001;2012;1.33;0;3
ventilation_hybride_entrees_air_hygoreglables;;;2013;;1.17;0;3
ventilation_mecanique_conduit;;;;2012;2.24;0;4
ventilation_mecanique_conduit;;;2013;;1.97;0;4
puit_climatique;0;;;2012;0.99;0.99;0
puit_climatique;0;;2013;;0.79;0.79;0
puit_climatique;1;;;2012;0.36;0.36;0
puit_climatique;1;;2013;;0.16;0.16;0
ventilation_ouverture_fenetres;;;;;1.2;1.2;0
ventilation_entrees_air_hautes_basses;;;;;2.23;0;4
ventilation_naturelle_conduit;;;;;2.23;0;4
ventilation_naturelle_conduit_entrees_air_hygoreglables;;;;;2.23;0;3
